"isqno","war","name","locn","campgn","postype","post1","post2","front","depth","time","aeroa","surpa","cea","leada","trnga","morala","logsa","momnta","intela","techa","inita","wina","kmda","crit","quala","resa","mobila","aira","fprepa","wxa","terra","leadaa","plana","surpaa","mana","logsaa","fortsa","deepa","is_hero","war2","war3","war4","war4_theater","dbpedia","cow_warno","cow_warname","war_initiator","parent"
162,"US-MEXICAN WAR","CHURUBUSCO","MEXICO","CENTRAL MEXICAN",0,"PD",,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,11.2,1,0,0,0,0,0,0,,1,0,0,0,0,,0,1,"US-MEXICAN WAR","US-MEXICAN WAR","Mexican-American War of 1846-1847","","http://dbpedia.org/resource/Battle_of_Churubusco",7,"Mexican-American War of 1846-1847",1,
163,"US-MEXICAN WAR","MOLINO DEL REY","MEXICO","CENTRAL MEXICAN",0,"PD",,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0.8,1,0,0,0,0,0,0,,1,1,0,1,0,,0,1,"US-MEXICAN WAR","US-MEXICAN WAR","Mexican-American War of 1846-1847","","http://dbpedia.org/resource/Battle_of_Molino_del_Rey",7,"Mexican-American War of 1846-1847",1,
164,"US-MEXICAN WAR","CHAPULTEPEC","MEXICO","CENTRAL MEXICAN",0,"FD",,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,4.5,1,0,0,0,0,0,0,,1,1,0,0,0,,0,1,"US-MEXICAN WAR","US-MEXICAN WAR","Mexican-American War of 1846-1847","","http://dbpedia.org/resource/Battle_of_Chapultepec",7,"Mexican-American War of 1846-1847",1,
165,"CRIMEAN WAR","THE ALMA","THE CRIMEA","SEBASTOPOL",1,"HD","PD",1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,1,1,0,0,0,0,0,,0,0,0,0,0,,0,1,"CRIMEAN WAR","CRIMEAN WAR","Crimean War of 1853-1856","","http://dbpedia.org/resource/Battle_of_Alma",22,"Crimean War of 1853-1856",1,
166,"CRIMEAN WAR","INKERMAN","THE CRIMEA","SEBASTOPOL",0,"PD",,0,0,0,0,1,,0,,0,,0,0,0,0,,0,1,,,0,0,1,0,0,0,0,1,0,0,,0,1,"CRIMEAN WAR","CRIMEAN WAR","Crimean War of 1853-1856","","http://dbpedia.org/resource/Battle_of_Inkerman",22,"Crimean War of 1853-1856",0,
167,"WAR OF AUSTRIA WITH FRANCE AND PIEDMONT","MAGENTA","LOMBARDY","LOMBARDY 1859",0,"HD",,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"WAR OF AUSTRIA WITH FRANCE AND PIEDMONT","WAR OF AUSTRIA WITH FRANCE AND PIEDMONT","War of Italian Unification of 1859","","http://dbpedia.org/resource/Battle_of_Magenta",28,"War of Italian Unification of 1859",0,
168,"WAR OF AUSTRIA WITH FRANCE AND PIEDMONT","SOLFERINO","LOMBARDY","LOMBARDY 1859",0,"HD",,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,"WAR OF AUSTRIA WITH FRANCE AND PIEDMONT","WAR OF AUSTRIA WITH FRANCE AND PIEDMONT","War of Italian Unification of 1859","","http://dbpedia.org/resource/Battle_of_Solferino",28,"War of Italian Unification of 1859",0,
169,"AUSTRO-PRUSSIAN (SEVEN WEEK'S) WAR","SADOWA (KOENIGGRATZ)","AUSTRIA","BOHEMIA 1866",0,"HD",,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,9,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,"AUSTRO-PRUSSIAN (SEVEN WEEK'S) WAR","AUSTRO-PRUSSIAN (SEVEN WEEK'S) WAR","Seven Weeks War of 1866","","http://dbpedia.org/resource/Battle_of_Königgrätz",55,"Seven Weeks War of 1866",0,
170,"AUSTRO-ITALIAN WAR","CUSTOZZA II","VENETIA","VENETIA 1866",0,"HD",,0,0,0,0,0,,,,0,0,0,0,0,0,,0,1,,0,,0,0,0,,,,0,0,0,0,0,1,"AUSTRO-ITALIAN WAR","AUSTRO-ITALIAN WAR","Seven Weeks War of 1866","","http://dbpedia.org/resource/Battle_of_Custoza_(1866)",55,"Seven Weeks War of 1866",0,
171,"AMERICAN CIVIL WAR","FIRST BULL RUN (MANASSAS)","VIRGINIA","FIRST BULL RUN",0,"HD",,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,1,0,,0,0,0,0,,,0,0,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/First_Battle_of_Bull_Run",572,"U.S. Civil War of 1861-1865",0,
172,"AMERICAN CIVIL WAR","WILSON'S CREEK","MISSOURI","MISSOURI 1861",0,"HD",,0,0,0,0,2,0,0,0,0,0,0,0,0,1,,,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Wilson%27s_Creek",572,"U.S. Civil War of 1861-1865",0,
173,"AMERICAN CIVIL WAR","BELMONT","MISSOURI","MISSOURI 1861",0,"HD",,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Belmont",572,"U.S. Civil War of 1861-1865",0,
174,"AMERICAN CIVIL WAR","MILL SPRINGS","KENTUCKY","KENTUCKY 1862",0,"HD",,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Mill_Springs",572,"U.S. Civil War of 1861-1865",1,
175,"AMERICAN CIVIL WAR","FORT DONELSON","TENNESSEE","HENRY AND DONELSON",0,"HD",,0,0,0,0,0,0,,0,0,,0,0,0,1,,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Fort_Donelson",572,"U.S. Civil War of 1861-1865",1,
176,"AMERICAN CIVIL WAR","PEA RIDGE","MISSOURI","MISSOURI 1862",0,"HD",,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,1,0,0,0,0,0,0,,,0,0,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Pea_Ridge",572,"U.S. Civil War of 1861-1865",1,
177,"AMERICAN CIVIL WAR","KERNSTOWN","VIRGINIA","VALLEY 1862",0,"HD",,0,0,0,0,0,0,1,0,0,0,0,,0,0,,0,1,0,,0,0,,0,0,1,,0,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/First_Battle_of_Kernstown",572,"U.S. Civil War of 1861-1865",1,
178,"AMERICAN CIVIL WAR","SHILOH","TENNESSEE","TENNESSEE 1862",0,"HD",,0,0,0,0,2,0,0,0,0,0,0,0,0,1,,0,2,0,,0,0,,0,0,0,0,1,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Shiloh",572,"U.S. Civil War of 1861-1865",1,
179,"AMERICAN CIVIL WAR","FRONT ROYAL","VIRGINIA","VALLEY 1862",1,"HD","WD",0,0,1,0,3,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,2,0,0,1,1,2,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Front_Royal",572,"U.S. Civil War of 1861-1865",1,
180,"AMERICAN CIVIL WAR","FIRST WINCHESTER","VIRGINIA","VALLEY 1862",0,"HD",,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1.6,1,0,0,0,0,2,0,,2,0,0,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/First_Battle_of_Winchester",572,"U.S. Civil War of 1861-1865",1,
181,"AMERICAN CIVIL WAR","CROSS KEYS","VIRGINIA","VALLEY 1862",0,"HD",,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,,,0,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Cross_Keys",572,"U.S. Civil War of 1861-1865",0,
182,"AMERICAN CIVIL WAR","PORT REPUBLIC","VIRGINIA","VALLEY 1862",0,"HD",,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.6,1,0,2,0,0,2,0,0,1,1,0,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Port_Republic",572,"U.S. Civil War of 1861-1865",1,
183,"AMERICAN CIVIL WAR","SEVEN PINES (FAIR OAKS)","VIRGINIA","PENINSULAR 1862",0,"HD",,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1.6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Seven_Pines",572,"U.S. Civil War of 1861-1865",1,
184,"AMERICAN CIVIL WAR","MECHANICSVILLE","VIRGINIA","PENINSULAR 1862",0,"HD",,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Beaver_Dam_Creek",572,"U.S. Civil War of 1861-1865",1,
185,"AMERICAN CIVIL WAR","GAINES'S MILL","VIRGINIA","PENINSULAR 1862",0,"HD",,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0.5,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Gaines%27s_Mill",572,"U.S. Civil War of 1861-1865",1,
186,"AMERICAN CIVIL WAR","GLENDALE-FRAYSER'S FARM","VIRGINIA","PENINSULAR 1862",0,"HD",,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Savage%27s_Station Battle_of_White_Oak_Swamp Battle_of_Glendale ",572,"U.S. Civil War of 1861-1865",1,
187,"AMERICAN CIVIL WAR","MALVERN HILL","VIRGINIA","PENINSULAR 1862",0,"HD",,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Malvern_Hill",572,"U.S. Civil War of 1861-1865",1,
188,"AMERICAN CIVIL WAR","CEDAR MOUNTAIN","VIRGINIA","SECOND BULL RUN",0,"HD",,0,0,0,0,0,0,,0,0,0,0,0,0,1,,0,1,0,,0,0,0,0,0,,0,0,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Cedar_Mountain",572,"U.S. Civil War of 1861-1865",0,
189,"AMERICAN CIVIL WAR","SECOND BULL RUN (MANASSAS)","VIRGINIA","SECOND BULL RUN",0,"HD",,0,0,0,0,0,0,,0,0,0,0,,0,,,,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Second_Battle_of_Bull_Run",572,"U.S. Civil War of 1861-1865",0,
190,"AMERICAN CIVIL WAR","SOUTH MOUNTAIN","MARYLAND","ANTIETAM",0,"HD",,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,1,0,1,0,0,0,0,,0,1,0,,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_South_Mountain",572,"U.S. Civil War of 1861-1865",0,
191,"AMERICAN CIVIL WAR","ANTIETAM (SHARPSBURG)","MARYLAND","ANTIETAM",0,"HD",,0,0,0,0,0,0,,0,0,0,1,1,0,1,,1,2,0,,0,0,0,0,0,,0,0,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Antietam",572,"U.S. Civil War of 1861-1865",0,
192,"AMERICAN CIVIL WAR","CORINTH","MISSISSIPPI","IUKA-CORINTH",0,"PD",,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,6,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Second_Battle_of_Corinth",572,"U.S. Civil War of 1861-1865",0,
193,"AMERICAN CIVIL WAR","PERRYVILLE","KENTUCKY","PERRYVILLE",0,"HD",,0,0,0,0,0,,,,0,0,0,0,0,1,0,0.5,2,0,1,0,0,0,0,0,,0,0,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Perryville",572,"U.S. Civil War of 1861-1865",0,
194,"AMERICAN CIVIL WAR","FREDERICKSBURG","VIRGINIA","FREDRICKSBURG",0,"PD",,0,0,0,0,0,0,,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,,,,0,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Fredericksburg",572,"U.S. Civil War of 1861-1865",0,
195,"AMERICAN CIVIL WAR","MURFREESBORO (STONE'S RIVER)","TENNESSEE","STONES RIVER",0,"HD",,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,8,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Stones_River",572,"U.S. Civil War of 1861-1865",1,
196,"AMERICAN CIVIL WAR","CHANCELLORSVILLE","VIRGINIA","CHANCELLORSVILLE",0,"HD",,0,0,0,0,,0,,0,0,0,0,,0,,,,1,0,0,0,0,0,0,0,,,,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Chancellorsville",572,"U.S. Civil War of 1861-1865",0,
197,"AMERICAN CIVIL WAR","CHAMPION'S HILL","MISSISSIPPI","VICKSBURG",0,"HD",,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,,2,0,0,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Champion_Hill",572,"U.S. Civil War of 1861-1865",0,
198,"AMERICAN CIVIL WAR","BRANDY STATION","VIRGINIA","GETTYSBURG",0,"HD",,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Brandy_Station",572,"U.S. Civil War of 1861-1865",0,
199,"AMERICAN CIVIL WAR","GETTYSBURG","PENNSYLVANIA","GETTYSBURG",0,"HD",,0,0,0,0,0,0,0,0,0,0,0,,0,1,,3.3,1,0,,0,0,,0,,0,0,0,,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Gettysburg",572,"U.S. Civil War of 1861-1865",1,
200,"AMERICAN CIVIL WAR","CHICKAMAUGA","GEORGIA","CHICKAMAUGA",0,"HD",,0,0,0,0,2,0,1,0,0,0,0,1,0,1,1,3.2,1,0,0,0,0,0,0,,1,1,1,1,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Chickamauga",572,"U.S. Civil War of 1861-1865",1,
201,"AMERICAN CIVIL WAR","CHATTANOOGA","TENNESSEE","CHATTANOOGA",1,"PD","FD",0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,8.8,1,0,0,0,0,0,0,,1,1,0,0,0,,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Chattanooga_Campaign",572,"U.S. Civil War of 1861-1865",0,
202,"AMERICAN CIVIL WAR","THE WILDERNESS","VIRGINIA","WILDERNESS-SPOTSYLVANIA-COLD HARBOR",0,"HD",,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,2,0,0,0,0,0,0,,,0,0,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_the_Wilderness",572,"U.S. Civil War of 1861-1865",0,
203,"AMERICAN CIVIL WAR","SPOTSYLVANIA","VIRGINIA","WILDERNESS-SPOTSYLVANIA-COLD HARBOR",1,"HD","PD",1,0,1,0,0,0,0,0,0,0,0,0,0,1,,1.4,2,0,0,0,0,0,0,0,,0,0,0,0,,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Spotsylvania_Court_House",572,"U.S. Civil War of 1861-1865",0,
204,"AMERICAN CIVIL WAR","NEW MARKET","VIRGINIA","SHENANDOAH VALLEY 1864",0,"HD",,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3.2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_New_Market",572,"U.S. Civil War of 1861-1865",1,
205,"AMERICAN CIVIL WAR","COLD HARBOR","VIRGINIA","WILDERNESS-SPOTSYLVANIA-COLD HARBOR",0,"PD",,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,,,0,0,0,,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Cold_Harbor",572,"U.S. Civil War of 1861-1865",0,
206,"AMERICAN CIVIL WAR","KENESAW MOUNTAIN","GEORGIA","ATLANTA",0,"PD",,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,1,0,0,0,0,0,0,,,0,0,0,0,,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Kennesaw_Mountain",572,"U.S. Civil War of 1861-1865",0,
207,"AMERICAN CIVIL WAR","PEACHTREE CREEK","GEORGIA","ATLANTA",1,"HD","PD",1,0,0,0,2,0,0,0,0,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,,1,1,0,0,,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Peachtree_Creek",572,"U.S. Civil War of 1861-1865",1,
208,"AMERICAN CIVIL WAR","ATLANTA","GEORGIA","ATLANTA",0,"HD",,0,0,0,0,2,0,,0,0,0,0,0,0,1,,1.5,1,0,,0,0,0,0,0,0,0,1,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Atlanta",572,"U.S. Civil War of 1861-1865",1,
209,"AMERICAN CIVIL WAR","PETERSBURG","VIRGINIA","PETERSBURG",0,"FD",,0,0,0,0,0,0,,0,0,0,0,,1,1,,9.6,1,0,,0,0,0,0,0,,0,0,0,0,,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Second_Battle_of_Petersburg",572,"U.S. Civil War of 1861-1865",0,
210,"AMERICAN CIVIL WAR","GLOBE TAVERN","VIRGINIA","SIEGE OF PETERSBURG",0,"HD",,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,0,1,0,0,0,,,0,1,0,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Globe_Tavern",572,"U.S. Civil War of 1861-1865",0,
211,"AMERICAN CIVIL WAR","OPEQUON CREEK (THIRD WINCHESTER)","VIRGINIA","SHERIDAN'S VALLEY",1,"HD","PD",1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,13,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Opequon",572,"U.S. Civil War of 1861-1865",0,
212,"AMERICAN CIVIL WAR","CEDAR CREEK","VIRGINIA","SHERIDAN'S VALLEY",0,"HD",,0,0,0,0,3,0,0,0,,0,0,0,0,1,,,1,0,,0,0,,0,0,,1,1,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Cedar_Creek",572,"U.S. Civil War of 1861-1865",1,
213,"AMERICAN CIVIL WAR","FRANKLIN","TENNESSEE","FRANKLIN AND NASHVILLE",0,"PD",,0,0,0,0,0,0,,0,0,0,0,0,0,1,,1,1,0,,0,0,,0,,,,0,0,0,,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Franklin_(1864)",572,"U.S. Civil War of 1861-1865",1,
214,"AMERICAN CIVIL WAR","NASHVILLE","TENNESSEE","FRANKLIN AND NASHVILLE",0,"PD",,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,6.4,1,0,1,1,0,0,0,,1,1,0,0,0,,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Nashville",572,"U.S. Civil War of 1861-1865",0,
215,"AMERICAN CIVIL WAR","BENTONVILLE","NORTH CAROLINA","THE CAROLINAS",0,"HD",,0,0,0,0,2,0,0,0,,0,0,0,0,1,,0,1,0,,0,0,,0,1,0,1,1,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Bentonville",572,"U.S. Civil War of 1861-1865",1,
216,"AMERICAN CIVIL WAR","DINWIDDIE COURTHOUSE & WHITE OAK ROAD","VIRGINIA","PETERSBURG",1,"HD","PD",1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,2,0,1,0,0,0,,0,0,1,0,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Dinwiddie_Court_House",572,"U.S. Civil War of 1861-1865",0,
217,"AMERICAN CIVIL WAR","FIVE FORKS","VIRGINIA","PETERSBURG",0,"PD",,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,1,0,0,1,0,1,0,0,0,1,0,0,0,,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Five_Forks",572,"U.S. Civil War of 1861-1865",0,
218,"AMERICAN CIVIL WAR","SELMA","ALABAMA","SELMA",0,"FD",,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0.6,1,1,0,0,0,0,0,,0,1,0,0,0,,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Selma",572,"U.S. Civil War of 1861-1865",0,
219,"AMERICAN CIVIL WAR","SAYLOR'S CREEK","VIRGINIA","APPOMATTOX",0,"HD",,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,"AMERICAN CIVIL WAR","AMERICAN CIVIL WAR","U.S. Civil War of 1861-1865","","http://dbpedia.org/resource/Battle_of_Sayler%27s_Creek",572,"U.S. Civil War of 1861-1865",0,
220,"FRANCO-PRUSSIAN WAR","WEISSENBURG","FRANCE","METZ",0,"HD",,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,2.4,1,0,1,1,0,2,0,0,0,0,1,0,0,0,0,1,"FRANCO-PRUSSIAN WAR","FRANCO-PRUSSIAN WAR","Franco-Prussian War of 1870-1871","","http://dbpedia.org/resource/Battle_of_Wissembourg_(1870)",58,"Franco-Prussian War of 1870-1871",0,
221,"FRANCO-PRUSSIAN WAR","FROESCHWILLER","FRANCE","METZ",0,"HD",,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3.2,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,"FRANCO-PRUSSIAN WAR","FRANCO-PRUSSIAN WAR","Franco-Prussian War of 1870-1871","","http://dbpedia.org/resource/Battle_of_Wörth_(1870)",58,"Franco-Prussian War of 1870-1871",0,
222,"FRANCO-PRUSSIAN WAR","SPICHERN","FRANCE","METZ",2,"HD","PD",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"FRANCO-PRUSSIAN WAR","FRANCO-PRUSSIAN WAR","Franco-Prussian War of 1870-1871","","http://dbpedia.org/resource/Battle_of_Spicheren",58,"Franco-Prussian War of 1870-1871",0,
223,"FRANCO-PRUSSIAN WAR","MARS LA TOUR","FRANCE","METZ",0,"HD",,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2.4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,"FRANCO-PRUSSIAN WAR","FRANCO-PRUSSIAN WAR","Franco-Prussian War of 1870-1871","","http://dbpedia.org/resource/Battle_of_Mars-la-Tour",58,"Franco-Prussian War of 1870-1871",0,
224,"FRANCO-PRUSSIAN WAR","GRAVELOTTE-ST. PRIVAT","FRANCE","METZ",0,"HD",,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,4,1,0,0,0,0,0,0,,1,1,0,0,0,0,0,1,"FRANCO-PRUSSIAN WAR","FRANCO-PRUSSIAN WAR","Franco-Prussian War of 1870-1871","","http://dbpedia.org/resource/Battle_of_Gravelotte",58,"Franco-Prussian War of 1870-1871",0,
