"isqno","nam","co","str","code","intst","rerp","cas","finst","cav","tank","lt","mbt","arty","fly","ctank","carty","cfly","pri1","pri2","pri3","sec1","sec2","sec3","reso1","reso2","reso3","strpl","strmi","caspl","casmi","ach","attacker","surp","countries"
331,"GER 2ND, 17TH & 18TH ARMIES","GEN LUDENDORFF",700000,"GER 2ND, 17TH & 18TH ARMIES",700000,,133000,,0,,,,6400,,,,,"FF",,,,,,"PP","RR","SS",0,-14,20,0,5,TRUE,"GER 2ND, 17TH & 18TH ARMIES","Germany"
332,"GER 4TH & 6TH ARMIES","GEN LUDENDORFF",500000,"GER 4TH & 6TH ARMIES",,,175000,325000,0,9,,,,,,,,"FF",,,,,,"PP","RR","SS",0,-10,10,-20,7,TRUE,"GER 4TH & 6TH ARMIES","Germany"
333,"GER SPEC ASSLT GRP 'VON GROTHE' & 272ND RES INF RGT","MAJ GROTHE",3072,"GER SPEC ASSLT GRP 'VON GROTHE' & 272ND RES INF RGT",3072,0,71,3001,0,0,0,0,36,0,0,0,0,"FF",,,,,,"PP","RR","SS",15,-15,15,-15,6,TRUE,"GER SPEC ASSLT GRP 'VON GROTHE' & 272ND RES INF RGT","Germany"
334,"GER 1ST & 7TH ARMIES","CR PR WILHELM",250000,"GER 1ST & 7TH ARMIES",250000,,118000,,0,,,,3719,,,,,"FF",,,,,,"PP","SS",,0,-10,0,-15,3,TRUE,"GER 1ST & 7TH ARMIES","Germany"
335,"US 1ST DIV & 28TH INF RGT","COL ELY",8679,"US 1ST DIV & 28TH INF RGT",8679,0,300,8379,0,12,,,346,,6,0,,"FF",,,,,,"PP",,,10,-10,10,-10,7,TRUE,"US 1ST DIV & 28TH INF RGT","USA"
336,"US 4TH BDE(+)","BG HARBORD",9437,"US 4TH BDE(+)",9437,0,1087,8350,0,0,0,0,36,,0,,,"FF",,,,,,"PP","RR","SS",10,-10,10,-10,4,TRUE,"US 4TH BDE(+)","USA"
337,"US 5TH MAR RGT(-)","MAJ TURRILL",2913,"US 5TH MAR RGT(-)",,,383,2530,0,0,0,0,32,,0,,,"FF",,,,,,"BB",,,10,-10,10,-10,6,TRUE,"US 5TH MAR RGT(-)","USA"
338,"US 3/5TH MAR RGT(-)","MAJ BERRY",1940,"US 3/5TH MAR RGT(-)",1940,0,361,1579,0,0,0,0,18,,0,,,"FF",,,,,,"RR","WL",,10,-10,10,-10,2,TRUE,"US 3/5TH MAR RGT(-)","USA"
339,"US 6TH MAR RGT(-)","MAJ SIBLEY",2733,"US 6TH MAR RGT(-)",2733,0,343,2390,0,0,0,0,18,,0,,,"FF",,,,,,"PP","SS",,10,-10,10,-10,6,TRUE,"US 6TH MAR RGT(-)","USA"
340,"US 23RD INF RGT","COL MALONE",3608,"US 23RD INF RGT",3608,0,340,3268,0,0,0,0,36,,0,,,"FF","EE","RF",,,,"RR","WL",,10,-10,10,-10,3,TRUE,"US 23RD INF RGT","USA"
341,"US 2/5TH MAR RGT(+)","MAJ WISE",3343,"US 2/5TH MAR RGT(+)",3343,0,279,3064,0,0,0,0,48,,0,,,"FF",,,,,,"PP",,,10,-10,10,-10,6,TRUE,"US 2/5TH MAR RGT(+)","USA"
342,"US 2/5TH MAR RGT","MAJ WISE",1747,"US 2/5TH MAR RGT",1747,0,167,1580,0,0,0,0,18,,0,,,"FF",,,,,,"PP",,,10,-10,10,-10,7,TRUE,"US 2/5TH MAR RGT","USA"
343,"GER 109TH RGT(-)(+)",,3690,"GER 109TH RGT(-)(+)",3690,0,138,3552,0,0,0,0,48,,0,,,"FF",,,,,,"RR","WD","SS",15,-15,15,-15,5,TRUE,"GER 109TH RGT(-)(+)","Germany"
344,"US 1/7TH INF RGT","LCOL ADAMS",1697,"US 1/7TH INF RGT",1697,0,192,1505,0,0,0,0,12,,0,,,"FF",,,,,,"RR","WL","SS",10,-10,10,-10,2,TRUE,"US 1/7TH INF RGT","USA"
345,"US 3/5TH MAR RGT","MAJ SHEARER",1256,"US 3/5TH MAR RGT",1256,0,133,1123,0,0,0,0,0,,0,0,,"FF",,,,,,"RR","WL","SS",10,-10,10,-10,3,TRUE,"US 3/5TH MAR RGT","USA"
346,"US 3/5TH MAR RGT","MAJ SHEARER",4453,"US 3/5TH MAR RGT",,,273,4180,0,0,0,0,48,,0,,,"FF",,,,,,"BB",,,10,-10,10,-10,7,TRUE,"US 3/5TH MAR RGT","USA"
347,"US 3RD BDE, 2ND INF DIV","BG LEWIS",12812,"US 3RD BDE, 2ND INF DIV",12812,0,336,12476,0,,,,138,,,,,"FF","EE","RF",,,,"BB",,,10,-10,10,-10,7,TRUE,"US 3RD BDE, 2ND INF DIV","USA"
348,"US 2/9TH INF RGT","MAJ BOUTON",4515,"US 2/9TH INF RGT",4515,0,94,4421,0,,,,54,,,0,,"FF",,,,,,"BB",,,10,-10,10,-10,7,TRUE,"US 2/9TH INF RGT","USA"
349,"US 3/33RD INF RGT","MAJ ELLIOT",4508,"US 3/33RD INF RGT",4508,0,223,4285,0,,,,69,,,,,"FF","EE","RF",,,,"BB",,,10,-10,10,-10,7,TRUE,"US 3/33RD INF RGT","USA"
350,"GER 18TH & 7TH ARMIES","CR PR WILHELM",275000,"GER 18TH & 7TH ARMIES",,,80000,195000,0,,,,3000,,,,,"FF",,,,,,"PP","RR","SS",9,0,10,-10,4,TRUE,"GER 18TH & 7TH ARMIES","Germany"
351,"GER 7TH, 1ST & 3RD ARMIES","CR PR WILHELM",400000,"GER 7TH, 1ST & 3RD ARMIES",,,100000,300000,0,20,,,4500,,20,,,"DE",,,,,,"PP","RR","SS",10,-10,10,-10,4,TRUE,"GER 7TH, 1ST & 3RD ARMIES","Germany"
352,"FR 10TH ARMY(+)","GEN MANGIN",750000,"FR 10TH ARMY(+)",750000,,55000,,0,350,150,200,7000,,,,,"FF",,,,,,"PP",,,15,-15,15,-15,7,TRUE,"FR 10TH ARMY(+)","France"
353,"US 26TH INF RGT(+)","COL SMITH",5004,"US 26TH INF RGT(+)",5004,0,393,4611,0,10,0,10,29,,,,,"FF",,,,,,"PP",,,10,-10,10,-10,7,TRUE,"US 26TH INF RGT(+)","USA"
354,"US 28TH INF RGT(+)","COL BABCOCK",5039,"US 28TH INF RGT(+)",5039,0,448,4591,0,8,0,8,29,,5,,,"FF",,,,,,"PP",,,10,-10,10,-10,7,TRUE,"US 28TH INF RGT(+)","USA"
355,"US 2/28TH INF RGT","MAJ HUEBNER",1150,"US 2/28TH INF RGT",1150,0,120,1030,0,5,0,5,0,,0,0,,"FF",,,,,,"PP",,,10,-10,10,-10,8,TRUE,"US 2/28TH INF RGT","USA"
356,"US 2/23RD INF RGT(+)","MAJ WADDILL",4480,"US 2/23RD INF RGT(+)",4480,0,125,4355,0,12,12,0,36,,,,,"FF",,,,,,"PP",,,10,-10,10,-10,8,TRUE,"US 2/23RD INF RGT(+)","USA"
357,"US 1ST INF BDE(+)","BG HINES",10345,"US 1ST INF BDE(+)",10345,0,895,9450,0,30,0,30,58,,,,,"FF",,,,,,"PP",,,10,-10,10,-10,8,TRUE,"US 1ST INF BDE(+)","USA"
358,"US 3/18TH INF RGT(+)","COL PARKER",1611,"US 3/18TH INF RGT(+)",1611,0,130,1481,0,0,0,0,14,,0,,,"FF",,,,,,"PP",,,10,-10,10,-10,8,TRUE,"US 3/18TH INF RGT(+)","USA"
359,"FR 5TH, 6TH, 9TH & 10TH ARMIES","GEN FOCH",725000,"FR 5TH, 6TH, 9TH & 10TH ARMIES",,,195000,530000,0,350,,,7000,,,,,"FF",,,,,,"PP",,,15,-15,15,-15,7,TRUE,"FR 5TH, 6TH, 9TH & 10TH ARMIES","USA"
360,"US 28TH INF RGT(-)(+)","GEN SUMMERALL",4000,"US 28TH INF RGT(-)(+)",4000,0,210,3790,0,,,,36,,,,,"FF",,,,,,"PP",,,10,-10,10,-10,8,TRUE,"US 28TH INF RGT(-)(+)","USA"
361,"US 18TH INF RGT(-)(+)","GEN SUMMERALL",5300,"US 18TH INF RGT(-)(+)",5300,0,350,4950,0,,,,36,,,,,"FF",,,,,,"PP",,,10,-10,10,-10,8,TRUE,"US 18TH INF RGT(-)(+)","USA"
362,"BR 1ST, 3RD, 4TH ARMIES","FM HAIG",225000,"BR 1ST, 3RD, 4TH ARMIES",225000,,10000,,0,462,96,366,2000,,,,,"FF",,,,,,"BB",,,15,-15,15,-15,9,TRUE,"BR 1ST, 3RD, 4TH ARMIES","USA"
363,"BR 1ST ARMY(+) & FR 1ST ARMY(+)","FM HAIG",300000,"BR 1ST ARMY(+) & FR 1ST ARMY(+)",300000,,35000,,0,,,,,,,,,"FF",,,,,,"PP",,,15,-15,15,-15,9,TRUE,"BR 1ST ARMY(+) & FR 1ST ARMY(+)","USA"
364,"US 1ST ARMY","GEN PERSHING",400000,"US 1ST ARMY",,,7000,393000,0,267,267,0,3010,800,,,,"EE","LF",,"EE","RF","FE","PP","PS",,25,-20,10,-10,8,TRUE,"US 1ST ARMY","USA"
365,"US 2ND INF BDE(+)","BG BAMFORD",13208,"US 2ND INF BDE(+)",13208,0,185,13023,0,0,0,0,76,,0,,,"FF",,,,,,"BB","PS",,10,-10,10,-10,8,TRUE,"US 2ND INF BDE(+)","USA"
366,"US 1ST ARMY(+)","GEN PERSHING",300000,"US 1ST ARMY(+)",300000,,22128,,0,189,189,0,2700,821,,,,"FF",,,,,,"PP","SS",,25,-25,20,-20,7,TRUE,"US 1ST ARMY(+)","USA"
367,"US 2ND DIV(+)","MG LEJEUNE",26000,"US 2ND DIV(+)",,,4700,21300,0,72,72,0,192,,,,,"FF",,,,,,"PP","SS",,5,-5,5,-5,6,TRUE,"US 2ND DIV(+)","USA"
368,"US 2/9TH INF RGT","LCOL ARNOLD",1921,"US 2/9TH INF RGT",1921,0,247,1674,0,3,3,0,12,,0,0,,"FF",,,,,,"PP",,,10,-10,10,-10,8,TRUE,"US 2/9TH INF RGT","USA"
369,"US 1/5TH MAR RGT(-)","COL HUNT",1420,"US 1/5TH MAR RGT(-)",1420,0,140,1280,0,3,3,0,17,,0,0,,"EE","LF",,,,,"BB",,,10,-10,10,-10,8,TRUE,"US 1/5TH MAR RGT(-)","USA"
370,"US 2/6TH MAR RGT","COL LEE",1400,"US 2/6TH MAR RGT",1400,0,308,1092,0,12,12,0,96,,0,0,,"FF",,,,,,"PP",,,10,-10,0,-25,7,TRUE,"US 2/6TH MAR RGT","USA"
371,"US 4TH MAR BDE(-)",,9230,"US 4TH MAR BDE(-)",9230,0,620,8610,0,24,24,0,96,,0,,,"FF",,,,,,"PP",,,10,-10,10,-10,8,TRUE,"US 4TH MAR BDE(-)","USA"
372,"US 36TH DIV(-)(+)","MG SMITH",18000,"US 36TH DIV(-)(+)",18000,0,1589,16411,0,,,,144,,,,,"FF",,,,,,"RR","SS",,0,-20,0,-12,6,TRUE,"US 36TH DIV(-)(+)","USA"
373,"FR 4TH ARMY(+)","GEN FOCH",500000,"FR 4TH ARMY(+)",500000,,77448,,0,,,,,,,,,"FF",,,,,,"PP","SS",,25,-25,20,-20,7,TRUE,"FR 4TH ARMY(+)","USA"
374,"US 18TH INF RGT","COL HUNT",5336,"US 18TH INF RGT",5336,0,352,4984,0,11,11,0,36,,,,,"FF",,,,,,"PP","RR","SS",10,-10,10,-10,5,TRUE,"US 18TH INF RGT","USA"
375,"US 26TH INF RGT(+)","COL ERICKSON",5427,"US 26TH INF RGT(+)",5427,0,376,5051,0,13,13,0,36,,13,,,"FF",,,,,,"PP","SS",,10,-10,10,-10,5,TRUE,"US 26TH INF RGT(+)","USA"
376,"US 28TH INF RGT(+)","COL BARNHARDT",5365,"US 28TH INF RGT(+)",5365,0,340,5025,0,13,13,0,36,,,,,"FF",,,,,,"PP","SS",,10,-10,10,-10,6,TRUE,"US 28TH INF RGT(+)","USA"
377,"US 16TH INF RGT(+)","LCOL COPPOCK",5461,"US 16TH INF RGT(+)",5461,0,242,5219,0,10,10,0,36,,,,,"FF",,,,,,"PP",,,10,-10,10,-10,7,TRUE,"US 16TH INF RGT(+)","USA"
378,"US 26TH INF RGT(+)","COL ERICKSON",5022,"US 26TH INF RGT(+)",5022,0,301,4721,0,3,3,0,32,,,,,"FF",,,,,,"PP",,,10,-10,10,-10,6,TRUE,"US 26TH INF RGT(+)","USA"
379,"US 18TH INF RGT(+)","COL HUNT",4778,"US 18TH INF RGT(+)",4778,0,132,4646,0,0,0,0,32,,0,,,"FF","EE","RF",,,,"PP","RR","SS",10,-10,10,-10,6,TRUE,"US 18TH INF RGT(+)","USA"
380,"US 1/16TH INF RGT(+)","MAJ RYDER",2950,"US 1/16TH INF RGT(+)",2950,0,109,2841,0,0,0,0,32,,0,,,"FF","DE",,,,,"PP",,,10,-10,10,-10,7,TRUE,"US 1/16TH INF RGT(+)","USA"
381,"FR 4TH ARMY(+)","GEN PERSHING",600000,"FR 4TH ARMY(+)",600000,,30426,,0,,,,,,,,,"FF",,,,,,"PP",,,25,-25,20,-20,6,TRUE,"FR 4TH ARMY(+)","France"
382,"US 1/16TH INF RGT","MAJ RYDER",1210,"US 1/16TH INF RGT",1210,0,25,1185,0,0,0,0,0,0,0,0,0,"FF",,,,,,"PP",,,10,-10,10,-10,8,TRUE,"US 1/16TH INF RGT","USA"
383,"US 16TH INF RGT(-)(+)","COL HARREL",1989,"US 16TH INF RGT(-)(+)",1989,0,110,1879,0,0,0,0,0,,0,0,,"FF",,,,,,"PP",,,10,-10,10,-10,6,TRUE,"US 16TH INF RGT(-)(+)","USA"
384,"AUS CONRAD & BOROJEVIC GROUPS","ARCHDUKE EUGENE",840000,"AUS CONRAD & BOROJEVIC GROUPS",,,150000,690000,0,,0,0,7500,,0,70,,"FF",,,,,,"RR","SS",,0,-38,0,-24,4,TRUE,"AUS CONRAD & BOROJEVIC GROUPS","Austria"
385,"BR 21ST CORPS(+)","GEN ALLENBY",51170,"BR 21ST CORPS(+)",51170,0,3378,47792,0,0,0,0,384,200,0,,,"FF",,,"EE","LF",,"BB","PS",,0,-15,0,-10,9,TRUE,"BR 21ST CORPS(+)","Great Britain"
386,"GER & ITAL PZ ARMY AFRICA","GFM ROMMEL",124000,"GER & ITAL PZ ARMY AFRICA",124000,0,2940,121060,0,515,,,558,,50,15,41,"EE","LR",,"FE",,,"PP","RR","WD",0,-20,10,-10,5,TRUE,"GER & ITAL PZ ARMY AFRICA","Germany|Italy"
387,"BR 8TH ARMY","LG MONTGOMERY",220476,"BR 8TH ARMY",220476,0,13560,206916,0,1037,119,918,908,11586,500,2,97,"FF",,,"FE",,,"BB","PS",,5,-5,5,-5,8,TRUE,"BR 8TH ARMY","Great Britain"
388,"BR 8TH ARMY","LG MONTGOMERY",220476,"BR 8TH ARMY",220476,0,6140,214336,0,1037,119,918,908,,302,2,16,"FF",,,"FE",,,"PP","SS",,5,-5,5,-5,7,TRUE,"BR 8TH ARMY","Great Britain"
389,"BR 8TH ARMY","LG MONTGOMERY",214336,"BR 8TH ARMY",214336,0,3000,211336,0,745,88,657,906,,38,,,"FF",,,,,,"PP","SS",,5,-5,5,-5,7,TRUE,"BR 8TH ARMY","Great Britain"
390,"BR 8TH ARMY","LG MONTGOMERY",211000,"BR 8TH ARMY",211000,0,4420,206580,0,700,,,906,,160,,,"FF",,,,,,"BB","PS",,5,-5,5,-5,9,TRUE,"BR 8TH ARMY","Great Britain"
391,"GER 190TH PZ BN, 10TH PZ DIV (ELMS)(+)","COL BROICH",465,"GER 190TH PZ BN, 10TH PZ DIV (ELMS)(+)",465,0,27,438,0,13,0,13,0,0,9,0,0,"FF",,,,,,"RR","WD",,0,-15,50,-50,3,TRUE,"GER 190TH PZ BN, 10TH PZ DIV (ELMS)(+)","Germany"
392,"GER 10TH PZ DIV(+)","GEN BROICH",10300,"GER 10TH PZ DIV(+)",10300,0,450,9850,0,103,7,96,62,123,42,,4,"FF",,,,,,"RR","WD",,10,-15,11,-11,5,TRUE,"GER 10TH PZ DIV(+)","Germany"
393,"US 9TH INF DIV(+)","MG EDDY",24098,"US 9TH INF DIV(+)",24098,,1120,,0,94,22,72,100,75,,0,0,"FF",,,,,,"BB","PS",,5,-5,5,-5,7,TRUE,"US 9TH INF DIV(+)","USA"
394,"BR 56TH INF DIV","MG GRAHAM",12917,"BR 56TH INF DIV",12917,0,1154,11763,0,0,0,0,138,131,0,,,"FF",,,,,,"PP","SS",,10,-10,10,-10,5,TRUE,"BR 56TH INF DIV","Great Britain"
395,"BR 46TH INF DIV","MG HAWKESWORTH",12917,"BR 46TH INF DIV",12917,0,1530,11387,0,0,0,0,138,131,0,,,"FF",,,,,,"PP","SS",,10,-10,10,-10,6,TRUE,"BR 46TH INF DIV","Great Britain"
396,"US 45TH INF DIV","MG MIDDLETON",12447,"US 45TH INF DIV",12447,0,251,12196,0,106,17,89,82,18,1,,,"FF",,,,,,"PP","SS",,5,-5,5,-5,5,TRUE,"US 45TH INF DIV","USA"
397,"GER 16TH PZ DIV(-)(+)","MG SICKENIUS",14730,"GER 16TH PZ DIV(-)(+)",14730,,1112,,0,89,0,89,108,112,,,,"FF",,,,,,"PP","RR","SS",15,-15,15,-15,3,TRUE,"GER 16TH PZ DIV(-)(+)","Germany"
398,"GER HERMANN GOERING PZ DIV(+)","MG SCHMALTZ",15000,"GER HERMANN GOERING PZ DIV(+)",15000,,900,,0,108,0,108,164,112,,,,"FF",,,,,,"PP","RR","SS",15,-15,15,-15,3,TRUE,"GER HERMANN GOERING PZ DIV(+)","Germany"
399,"GER 16TH PZ DIV(-)(+)","MG SICKENIUS",14733,"GER 16TH PZ DIV(-)(+)",14733,,702,,0,98,0,98,106,24,,1,,"FF",,,,,,"PP","RR","SS",15,-15,15,-15,4,TRUE,"GER 16TH PZ DIV(-)(+)","Germany"
400,"BR 56TH INF DIV(+)","MG TEMPLER",14730,"BR 56TH INF DIV(+)",14730,0,300,14430,0,97,4,93,152,94,,,,"FF",,,,,,"PP",,,10,-10,10,-10,7,TRUE,"BR 56TH INF DIV(+)","Great Britain"
401,"US 45TH INF DIV(+)","MG MIDDLETON",15576,"US 45TH INF DIV(+)",15576,,386,,0,106,17,89,106,156,,0,,"FF",,,,,,"PP",,,5,-5,5,-5,6,TRUE,"US 45TH INF DIV(+)","USA"
402,"GER HERMANN GOERING PZ DIV(+)","MG SCHMALTZ",13300,"GER HERMANN GOERING PZ DIV(+)",13300,,400,,0,108,0,108,164,31,,,,"FF",,,,,,"RR","WD",,15,-15,15,-15,4,TRUE,"GER HERMANN GOERING PZ DIV(+)","Germany"
403,"BR 7TH ARMD DIV(-)","MG ERSKINE",14557,"BR 7TH ARMD DIV(-)",14557,,370,,0,158,3,155,68,0,,,0,"RC",,,,,,"PP",,,10,-10,10,-10,7,TRUE,"BR 7TH ARMD DIV(-)","Great Britain"
404,"US 34TH INF DIV(+)","MG RYDER",18210,"US 34TH INF DIV(+)",18210,,140,,0,106,17,89,104,8,,0,,"RC",,,,,,"PP",,,5,-5,5,-5,6,TRUE,"US 34TH INF DIV(+)","USA"
405,"BR 56TH INF DIV(+)","BG LYNE",16857,"BR 56TH INF DIV(+)",16857,0,420,16437,0,73,1,72,160,14,,,,"RC",,,,,,"RR",,,10,-10,10,-10,2,TRUE,"BR 56TH INF DIV(+)","Great Britain"
406,"BR 46TH INF DIV(+)","MG HAWKESWORTH",17765,"BR 46TH INF DIV(+)",17765,,500,,0,51,0,51,199,55,,,,"RC",,,"EE","RF",,"PP",,,10,-10,10,-10,6,TRUE,"BR 46TH INF DIV(+)","Great Britain"
407,"US 45TH INF DIV(+)","MG MIDDLETON",21265,"US 45TH INF DIV(+)",21265,,133,,0,106,17,89,89,0,,0,0,"FF","DE",,,,,"PP",,,5,-5,5,-5,6,TRUE,"US 45TH INF DIV(+)","USA"
408,"US 3RD INF DIV","MG TRUSCOTT",18476,"US 3RD INF DIV",18476,,267,,0,106,17,89,113,33,,0,,"RC",,,"FE",,,"PP",,,5,-5,5,-5,7,TRUE,"US 3RD INF DIV","USA"
409,"US 34TH INF DIV(+)","MG RYDER",17034,"US 34TH INF DIV(+)",17034,,65,,0,106,17,89,101,54,,0,,"FF",,,,,,"PP",,,5,-5,5,-5,5,TRUE,"US 34TH INF DIV(+)","USA"
410,"BR 7TH ARMD DIV","MG ERSKINE",14600,"BR 7TH ARMD DIV",14600,,125,,0,158,3,155,68,0,,,0,"RC",,,,,,"PP",,,10,-10,10,-10,6,TRUE,"BR 7TH ARMD DIV","Great Britain"
411,"BR 56TH INF DIV (ELMS)","MG TEMPLER",16400,"BR 56TH INF DIV (ELMS)",16400,,200,,0,73,1,72,112,48,,,,"FF",,,,,,"PP",,,10,-10,10,-10,6,TRUE,"BR 56TH INF DIV (ELMS)","Great Britain"
412,"BR 46TH INF DIV(+)","MG HAWKESWORTH",17500,"BR 46TH INF DIV(+)",17500,,220,,0,51,0,51,168,26,,,,"RC",,,,,,"PP",,,10,-10,10,-10,6,TRUE,"BR 46TH INF DIV(+)","Great Britain"
413,"BR 7TH ARMD DIV","MG ERSKINE",14000,"BR 7TH ARMD DIV",14000,,75,,0,158,3,155,68,0,,,0,"FF",,,,,,"PP","SS",,10,-10,10,-10,3,TRUE,"BR 7TH ARMD DIV","Great Britain"
414,"US 34TH INF DIV(+)","MG RYDER",16870,"US 34TH INF DIV(+)",16870,,416,,0,106,17,89,92,83,,,,"FF",,,,,,"PP",,,5,-5,5,-5,6,TRUE,"US 34TH INF DIV(+)","USA"
415,"BR 56TH INF DIV","MG TEMPLER",19513,"BR 56TH INF DIV",19513,,240,,0,45,1,44,160,90,,,,"FF",,,,,,"PP","RR",,10,-10,10,-10,3,TRUE,"BR 56TH INF DIV","Great Britain"
416,"US 3RD INF DIV","MG TRUSCOTT",16600,"US 3RD INF DIV",16600,,361,,0,106,17,89,110,238,,1,,"FF",,,"EE","LF",,"PP","RR","SS",5,-5,5,-5,5,TRUE,"US 3RD INF DIV","USA"
417,"US 45TH INF DIV","MG MIDDLETON",17404,"US 45TH INF DIV",17404,,155,,0,106,17,89,110,18,2,0,,"FF",,,"FF",,,"RR",,,5,-5,5,-5,3,TRUE,"US 45TH INF DIV","USA"
418,"GER 15TH PZ GR DIV(1/2)","MG RODT",7942,"GER 15TH PZ GR DIV(1/2)",7942,,34,,0,40,0,40,41,19,,,,"FF",,,,,,"RR","PP",,15,-15,15,-15,7,TRUE,"GER 15TH PZ GR DIV(1/2)","Germany"
419,"US 3RD INF DIV(-)","MG TRUSCOTT",16350,"US 3RD INF DIV(-)",16350,,165,,0,106,17,89,106,132,,0,,"FF","EE","LF","FF",,,"RR","PP","SS",5,-5,5,-5,5,TRUE,"US 3RD INF DIV(-)","USA"
420,"BR 46TH INF DIV(+)","MG HAWKESWORTH",17765,"BR 46TH INF DIV(+)",17765,,250,,0,51,0,51,130,26,,,,"FF",,,,,,"PP","SS",,10,-10,10,-10,4,TRUE,"BR 46TH INF DIV(+)","Great Britain"
421,"BR 56TH INF DIV","MG TEMPLER",20744,"BR 56TH INF DIV",20744,,550,,0,0,0,0,140,156,,,,"FF",,,"FF",,,"PP",,,10,-10,10,-10,7,TRUE,"BR 56TH INF DIV","Great Britain"
422,"US 36TH INF DIV(-)","MG WALKER",5551,"US 36TH INF DIV(-)",5551,,80,,0,0,0,0,152,221,0,,,"FF",,,,,,"PP",,,5,-5,5,-5,7,TRUE,"US 36TH INF DIV(-)","USA"
423,"BR 1ST INF DIV","MG PENNEY",19350,"BR 1ST INF DIV",19350,,1158,,0,71,0,71,242,0,7,,0,"FF",,,,,,"PP",,,10,-10,10,-10,6,TRUE,"BR 1ST INF DIV","Great Britain"
424,"GER 3RD PZ GR DIV","LG GRAESER",15317,"GER 3RD PZ GR DIV",15317,0,366,14951,0,92,0,92,130,50,,,,"FF",,,"DE",,,"RR","WD",,15,-15,15,-15,2,TRUE,"GER 3RD PZ GR DIV","Germany"
425,"BR 1ST INF DIV","MG PENNEY",17766,"BR 1ST INF DIV",17766,,742,,0,71,0,71,242,16,,,,"FF",,,,,,"PP","SS",,10,-10,10,-10,6,TRUE,"BR 1ST INF DIV","Great Britain"
426,"GER 3RD PZ GR DIV(+)","LG GRAESER",26029,"GER 3RD PZ GR DIV(+)",26029,,1318,,0,107,0,107,222,53,,,,"DE",,,"FF",,,"PP",,,15,-15,15,-15,6,TRUE,"GER 3RD PZ GR DIV(+)","Germany"
427,"GER 3RD PZ GR DIV(+)","LG GRAESER",26490,"GER 3RD PZ GR DIV(+)",26490,,341,,0,107,0,107,221,18,,,,"FF",,,,,,"PP","RR","SS",15,-15,15,-15,4,TRUE,"GER 3RD PZ GR DIV(+)","Germany"
428,"GER 65TH INF DIV(2/3)(+)","LG PFEIFFER",7418,"GER 65TH INF DIV(2/3)(+)",7418,,167,,0,27,0,27,58,9,,,,"RC",,,,,,"PP","SS",,15,-15,15,-15,5,TRUE,"GER 65TH INF DIV(2/3)(+)","Germany"
429,"GER 3RD PZ GR DIV(+)","LG GRAESER",27518,"GER 3RD PZ GR DIV(+)",27518,0,270,27248,0,113,0,113,223,0,,,0,"FF",,,"DE","LR","RR","PP",,,15,-15,15,-15,7,TRUE,"GER 3RD PZ GR DIV(+)","Germany"
430,"US 45TH INF DIV(+)","MG EAGLES",13400,"US 45TH INF DIV(+)",13400,,101,,0,70,0,70,155,7,,0,,"FF",,,,,,"RR",,,5,-5,5,-5,3,TRUE,"US 45TH INF DIV(+)","USA"
431,"GER 74TH PZ CORPS(-)(+)","GEN MACKENSEN",41974,"GER 74TH PZ CORPS(-)(+)",41974,,2238,,0,201,0,201,317,335,56,,,"FF",,,,,,"PP","RR","WD",15,-15,15,-15,4,TRUE,"GER 74TH PZ CORPS(-)(+)","Germany"
432,"GER 65TH INF DIV(2/3)(+)","GEN PFEIFFER",21478,"GER 65TH INF DIV(2/3)(+)",21478,,1451,,0,24,0,24,167,45,,,,"RC",,,,,,"PP","RR","WD",15,-15,15,-15,7,TRUE,"GER 65TH INF DIV(2/3)(+)","Germany"
433,"GER 114TH LT INF DIV(+)","LG BOURQUIN",15637,"GER 114TH LT INF DIV(+)",15637,,265,,0,45,0,45,164,170,,,,"FF",,,,,,"RR","WD",,15,-15,15,-15,3,TRUE,"GER 114TH LT INF DIV(+)","Germany"
434,"US 88TH INF DIV(+)","MG SLOAN",18702,"US 88TH INF DIV(+)",18702,,531,,0,249,51,198,160,109,9,0,,"FF",,,"FF",,,"PP",,,5,-5,5,-5,7,TRUE,"US 88TH INF DIV(+)","USA"
435,"US 85TH INF DIV(+)","MG COULTER",17970,"US 85TH INF DIV(+)",17970,,1974,,0,107,17,90,160,54,,0,,"FF",,,"FF",,,"RR","PP",,5,-5,5,-5,6,TRUE,"US 85TH INF DIV(+)","USA"
436,"US 85TH INF DIV(+)","MG COULTER",16458,"US 85TH INF DIV(+)",16458,,537,,0,124,34,90,154,40,,0,,"FF",,,"FF",,,"PP",,,5,-5,5,-5,8,TRUE,"US 85TH INF DIV(+)","USA"
437,"US 88TH INF DIV(+)","MG SLOAN",18308,"US 88TH INF DIV(+)",18308,,343,,0,249,51,198,166,31,,0,,"FF",,,"FF",,,"PP",,,5,-5,5,-5,6,TRUE,"US 88TH INF DIV(+)","USA"
438,"US 85TH INF DIV(+)","MG COULTER",23190,"US 85TH INF DIV(+)",23190,,405,,0,225,68,157,159,0,,0,0,"FF",,,,,,"PP",,,5,-5,5,-5,6,TRUE,"US 85TH INF DIV(+)","USA"
439,"US 88TH INF DIV(-)(+)","MG SLOAN",13095,"US 88TH INF DIV(-)(+)",13095,,203,,0,130,34,96,132,6,,0,,"FF",,,,,,"PP",,,5,-5,5,-5,7,TRUE,"US 88TH INF DIV(-)(+)","USA"
