"isqno","nam","co","wof1","wof2","wof3","str","code","intst","rerp","cas","finst","cav","tank","lt","mbt","arty","fly","ctank","carty","cfly","pri1","pri2","pri3","sec1","sec2","sec3","reso1","reso2","reso3","strpl","strmi","caspl","casmi","ach","attacker","surp","countries"
135,"RUSS & PR ARMIES","WITTGENSTEIN & BLUECHER",8,,,93000,,93000,0,18000,75000,25000,0,0,0,500,0,0,,0,"FF",,,,,,"RR","WD",,0,-26,0,-44,4,TRUE,,"Russia|Prussia"
136,"FR ARMY","NAPOLEON I",9.600001,19,,199000,,115000,84000,25000,174000,15000,0,0,0,300,0,0,,0,"FF","EE","RR",,,,"PP",,,1,-16,0,-20,6,TRUE,,"France"
137,"ALLIED (AUS, RUSS, PR)","SCHWARZENBERG",13,,,170000,,158000,12000,40000,130000,20000,0,0,0,400,0,0,40,0,"FF",,,,,,"RR","WD",,18,0,0,-5,3,TRUE,,"Austria|Prussia|Russia"
138,"ALLIED (AUS, RUSS, PR, SW) ARMY","SCHWARZENBERG",13.6,24,,365000,,200000,165000,65000,300000,60000,0,0,0,1384,0,0,,0,"FF",,,,,,"RR","WD",,0,-17,23,-18,7,TRUE,,"Austria|Prussia|Russia|Sweden"
139,"FR ARMY","NAPOLEON I",1.6,,,60000,,30000,30000,5000,55000,12000,0,0,0,140,0,0,5,0,"FF","EE","LF",,,,"BB","PS",,0,-22,50,0,7,TRUE,,"France"
140,"ALLIED ARMY OF SILESIA","BLUECHER",4.8,6.4,,110000,,78000,32000,6000,104000,,0,0,0,100,0,0,,0,"FF",,,,,,"PP",,,12,0,0,-22,8,TRUE,,"Prussia"
141,"FR ARMY","NAPOLEON I",6.4,4.8,,47600,,37600,10000,6000,41600,,0,0,0,100,0,0,,0,"FF",,,,,,"PP","RR","WD",9,-37,100,0,4,TRUE,,"France"
142,"ALLIED ARMY OF BOHEMIA","SCHWARZENBERG",4.8,6.4,,80000,,20000,60000,3000,77000,,0,0,0,150,0,0,,0,"FF",,,,,,"PP","WD",,25,0,5,-5,7,TRUE,,"Austria"
143,"FR ARMY OF NORTH (ELEMENTS OF)","NAPOLEON I",12,,,67567,,49567,18000,12000,55567,13737,0,0,0,236,0,0,0,0,"FF",,,"EE","RR",,"PP","PS",,0,-3,14,-4,7,TRUE,,"France"
144,"FR ARMY OF NORTH (ELEMENTS OF)","NEY",5,,,26741,,26741,0,4500,22241,6106,0,0,0,72,0,0,0,0,"FF",,,,,,"RR","SS",,0,-10,0,-9,6,TRUE,,"France"
145,"FR ARMY OF NORTH (ELEMENTS OF)","NAPOLEON I",4,9,,68265,,68265,0,25000,43265,15489,0,0,0,266,0,0,220,0,"FF",,,,,,"RR","WL",,9,0,32,0,3,TRUE,,"France"
146,"US ARMY","HARRISON",0.2,,,3500,,3500,0,29,3471,,0,0,0,,0,0,0,0,"FF",,,"EE","RF",,"PP","PS",,0,-6,5,-5,7,TRUE,,"USA"
147,"BR ARMY","RIALL",1.6,,,2100,,2100,0,604,1496,200,0,0,0,6,0,0,2,0,"FF",,,,,,"RR","WL",,0,-14,0,-31,2,TRUE,,"Great Britain"
148,"US ARMY","BROWN",0.5,,,2000,,700,1300,860,1140,,0,0,0,16,0,0,,0,"FF","EE","LF",,,,"SS","WL",,29,0,5,-5,3,TRUE,,"USA"
149,"BR ARMY","PAKENHAM",2.3,,,6000,,6000,0,2600,3400,,0,0,0,24,0,0,,0,"FF",,,,,,"RR","WL",,21,0,0,-22,3,TRUE,,"Great Britain"
150,"PATRIOT ARMY","BOLIVAR",1.5,,,3000,,3000,0,66,2934,,0,0,0,0,0,0,0,0,"FF",,,,,,"BB","PS",,0,-33,10,0,9,TRUE,,"Independentalists"
151,"PATRIOT ARMY","BOLIVAR",3.2,,,6400,,6400,0,200,6200,2500,0,0,0,,0,0,0,0,"FF",,,"EE","RF",,"BB","PS",,2,0,10,0,9,TRUE,,"Independentalists"
152,"PATRIOT ARMY","BOLIVAR",7.5,,,1800,,1800,0,531,1269,,0,0,0,0,0,0,,0,"FF",,,"EE","RF",,"PP",,,11,0,0,-14,7,TRUE,,"Independentalists"
153,"SP ARMY","AYMERICH",1,,,2500,,2500,0,590,1910,300,0,0,0,14,0,0,14,0,"FF",,,,,,"RR","WL",,0,-20,1,0,3,TRUE,,"Spain"
154,"PATRIOT ARMY","BOLIVAR",1.4,,,2000,,2000,0,145,1855,2000,0,0,0,0,0,0,,0,"FF","EE","RF",,,,"BB","PS",,0,-55,3,0,9,TRUE,,"Independentalists"
155,"SP ARMY","LA SERNA",4.5,,,9310,,9310,0,2500,6810,,0,0,0,11,0,0,11,0,"FF",,,"EE","LF",,"RR","WL",,7,0,124,0,2,TRUE,,"Spain"
156,"TEXAN VOL ARMY","HOUSTON",0.3,,,743,,743,0,39,704,,0,0,0,0,0,0,0,0,"FF",,,,,,"BB","PS",,0,-19,3,0,9,TRUE,,"Texas"
157,"US ARMY","TAYLOR",1.2,2.7,,2288,,2288,0,48,2240,,0,0,0,20,0,0,0,0,"FF",,,,,,"PP",,,2,0,13,0,6,TRUE,,"USA"
158,"US ARMY","TAYLOR",1.9,,,1700,,1700,0,122,1578,,0,0,0,16,0,0,0,0,"FF",,,,,,"PP","PS",,35,0,1,0,7,TRUE,,"USA"
159,"MEX ARMY","SANTA ANNA",7,,,14000,,14000,0,2000,12000,,0,0,0,,0,0,,0,"FF",,,"EE","LR",,"RR","WD",,57,0,85,-25,2,TRUE,,"Mexico"
160,"US ARMY","SCOTT",2.4,,,8500,,8500,0,431,8069,,0,0,0,7,0,0,0,0,"FF",,,"EE",,,"BB",,,6,0,0,-7,8,TRUE,,"USA"
161,"US ARMY","PILLOW",2.5,,,4500,,4500,0,60,4440,,0,0,0,,0,0,0,0,"FF",,,"EE","LR",,"BB","PS",,0,-11,0,-3,9,TRUE,,"USA"
162,"US ARMY","SCOTT",2,,,8497,,8497,0,996,7501,,0,0,0,,0,0,0,0,"FF",,,"EE","RR",,"BB","PS",,6,-11,2,0,7,TRUE,,"USA"
163,"US ARMY","WORTH",1.6,,,3100,,3100,0,792,2308,300,0,0,0,9,0,0,0,0,"FF",,,"EE","LF",,"BB","PS",,11,-3,1,-1,7,TRUE,,"USA"
164,"US ARMY","SCOTT",1.8,,,7180,,7180,0,863,6317,,0,0,0,8,0,0,0,0,"FF",,,"EE","RR",,"BB","PS",,4,-3,0,-1,9,TRUE,,"USA"
165,"BR, FR & TURK ARMIES","RAGLAN & SAINT-ARNAUD",10,,,65000,,65000,0,2562,62438,1000,0,0,0,136,0,0,,0,"FF",,,,,,"PP",,,0,-9,5,0,6,TRUE,,"Great Britain|France|Ottoman Empire"
166,"RUSS ARMY","MENSHIKOV",2.5,,,42000,,42000,0,15187,26813,,0,0,0,106,0,0,,0,"FF",,,,,,"RR","WD",,0,-4,0,-21,3,TRUE,,"Russia"
167,"FR & PIED ARMY","NAPOLEON III",8,,,48090,,48090,0,4530,43560,1207,0,0,0,87,0,0,,0,"FF",,,,,,"PP",,,3,0,2,0,5,TRUE,,"France|Sardinia"
168,"FR & PIED ARMY","NAPOLEON III",11,,,143000,,143000,0,17400,125600,15000,0,0,0,420,0,0,,0,"FF",,,,,,"PP",,,0,-17,0,-3,5,TRUE,,"France|Sardinia"
169,"PR ARMY GROUP","MOLTKE",12,32,,220000,,105000,115000,9200,210800,27000,0,0,0,780,0,0,,0,"DE","FF",,,,,"PP",,,2,0,9,-2,7,TRUE,,"Prussia"
170,"ITAL ARMY","LA MARMORA",,,,90000,,,,8100,81900,7000,0,0,0,192,0,0,14,0,"FF",,,,,,"RR","WD",,0,-11,1,0,3,TRUE,,"Italy"
171,"US ARMY","MACDOWELL",4.5,,,35000,,35000,0,2896,32104,,0,0,0,55,0,0,27,0,"EE","LF",,"FF",,,"RR","WD",,2,-19,15,-9,4,TRUE,,"USA"
172,"US ARMY","LYON",2,,,5400,,5400,0,1235,4165,,0,0,0,16,0,0,5,0,"FF",,,"EE","LR",,"RR","WD",,0,-20,10,-10,5,TRUE,,"USA"
173,"US ARMY","GRANT",1,,,3144,,3144,0,607,2537,0,0,0,0,6,0,0,0,0,"FF",,,,,,"PP","WD",,0,-5,0,-18,6,TRUE,,"USA"
174,"CS ARMY","ZOLLICOFFER",0.6,,,4000,,4000,0,533,3467,,0,0,0,12,0,0,12,0,"FF",,,,,,"RR","WL",,25,0,10,-10,4,TRUE,,"Confederacy"
175,"CS ARMY","FLOYD",1.1,,,21000,,21000,0,2000,19000,,0,0,0,14,0,0,0,0,"FF",,,,,,"PP","WD",,0,-29,10,-10,4,TRUE,,"Confederacy"
176,"CS ARMY","VAN DORN",6,3.2,,16202,,16202,0,1300,14902,,0,0,0,50,0,0,4,0,"EE","LR",,"EE","RF",,"RR","WD",,0,-14,0,-38,5,TRUE,,"Confederacy"
177,"CS ARMY","JACKSON",0.8,,,3087,,3087,0,718,2369,290,0,0,0,30,0,0,0,0,"FF",,,,,,"RR",,,40,-11,0,-3,4,TRUE,,"Confederacy"
178,"CS ARMY OF MISSISSIPPI","A. S. JOHNSTON",6,4.4,4,40355,4,40355,0,10699,29656,,0,0,0,108,0,0,30,0,"FF",,,,,,"PP","RR","WD",0,-10,10,-10,4,TRUE,4,"Confederacy"
179,"CS VALLEY ARMY","JACKSON",2,,,16000,,16000,0,35,15965,1700,0,0,0,48,0,0,0,0,"FF","DE",,,,,"BB",,,6,0,43,0,9,TRUE,,"Confederacy"
180,"CS VALLEY ARMY","JACKSON",1.6,,,16000,,16000,0,365,15635,1700,0,0,0,48,0,0,0,0,"FF","EE","RF",,,,"BB","PS",,6,0,10,0,8,TRUE,,"Confederacy"
181,"US ARMY OF W. VA.","FREMONT",2.8,,,10500,,10500,0,684,9816,,0,0,0,30,0,0,0,0,"FF",,,,,,"RR","WD",,14,0,5,-5,3,TRUE,,"USA"
182,"CS VALLEY ARMY","JACKSON",2.4,,,15000,,1200,13800,800,14200,,0,0,0,12,0,0,0,0,"FF",,,"EE","LF",,"BB","PS",,0,-13,0,-10,8,TRUE,,"Confederacy"
183,"CS ARMY","J. E. JOHNSTON & SMITH",6.4,,,41816,,7580,34236,6100,35716,,0,0,0,,0,0,10,0,"FF",,,,,,"PP","RR","SS",0,-7,5,-5,4,TRUE,,"Confederacy"
184,"CS ARMY OF NORTHERN VIRGINIA","LEE",3.2,,,16808,,16808,0,1484,15324,,0,0,0,,0,0,,0,"FF",,,,,,"RR",,,0,-39,35,0,5,TRUE,,"Confederacy"
185,"CS ARMY OF NORTHERN VIRGINIA","LEE",3.6,,,57018,,21752,35266,8751,48267,,0,0,0,,0,0,,0,"FF",,,"EE","RF",,"RR",,,10,-10,10,-10,5,TRUE,,"Confederacy"
186,"CS ARMY OF NORTHERN VIRGINIA","LEE",3.2,,,86748,,11000,75748,4241,82507,,0,0,0,,0,0,,0,"FF",,,,,,"RR",,,10,-10,10,-10,5,TRUE,,"Confederacy"
187,"CS ARMY OF NORTHERN VIRGINIA","LEE",1.6,,,82507,,82507,0,5355,77152,,0,0,0,,0,0,,0,"FF",,,,,,"RR",,,0,-10,10,-10,4,TRUE,,"Confederacy"
188,"US ARMY OF VIRGINIA(-)","BANKS",1.6,,,8030,,8030,0,2353,5677,1167,0,0,0,,0,0,,0,"FF",,,,,,"PP","RR","WD",25,0,1,0,5,TRUE,,"USA"
189,"US ARMY OF VIRGINIA(+)","POPE",4,3.6,,75696,,35083,40613,14462,61234,,0,0,0,,0,0,,0,"FF",,,,,,"RR","WD",,10,-10,0,-11,3,TRUE,,"USA"
190,"US ARMY OF THE POTOMAC","MCCLELLAN",3,,,28480,,28480,0,1813,26667,,0,0,0,27,0,0,,0,"FF","EE","LF",,,,"PP","PS",,10,-10,10,-10,6,TRUE,,"USA"
191,"US ARMY OF THE POTOMAC","MCCLELLAN",6.4,,,90000,,90000,0,12410,77590,4500,0,0,0,,0,0,,0,"FF","DE",,,,,"RR","SS",,0,-16,10,-10,5,TRUE,,"USA"
192,"US ARMY OF THE MISSISSIPPI","ROSECRANS",4,,,22000,,22000,0,4233,17767,,0,0,0,,0,0,,0,"FF","DE",,,,,"BB","PS",,0,-9,10,-10,5,TRUE,,"USA"
193,"US ARMY OF THE OHIO","BUELL",7.2,,,36940,,36940,0,4211,32729,,0,0,0,,0,0,,0,"FF",,,,,,"RR",,,0,-27,10,-10,5,TRUE,,"USA"
194,"US ARMY OF THE POTOMAC","BURNSIDE",7.8,,,106007,,106007,0,12653,93354,,0,0,0,,0,0,,0,"FF",,,,,,"RR","WD",,10,0,10,-10,3,TRUE,,"USA"
195,"CS ARMY OF TENNESSEE","BRAGG",13.6,7.2,,34732,,34732,0,11739,22993,4500,0,0,0,120,0,0,6,0,"FF","DE",,,,,"PP","SS","WD",9,0,0,-13,5,TRUE,,"Confederacy"
196,"US ARMY OF THE POTOMAC","HOOKER",6.8,5.2,,113000,,109480,3520,17278,95722,,0,0,0,404,0,0,120,0,"EE","LR",,"FF",,,"RR","WD",,18,-14,0,-3,3,TRUE,,"USA"
197,"US ARMY","GRANT",4,,,29373,,29373,0,2441,26932,,0,0,0,,0,0,,0,"FF",,,,,,"PP","PS",,19,-32,10,-10,8,TRUE,,"USA"
198,"US CAVALRY CORPS","PLEASANTON",4.4,,,12000,,10500,1500,900,11100,10500,0,0,0,,0,0,3,0,"FF","EE","RR",,,,"PP","WD",,0,-8,4,-4,6,TRUE,,"USA"
199,"CS ARMY OF NORTHERN VIRGINIA","LEE",5.1,9.5,7.7,75054,7.7,28800,46254,28063,46991,8000,0,0,0,250,0,0,3,0,"FF","DE",,,,,"RR","WD",,3,-7,0,-27,4,TRUE,7.7,"Confederacy"
200,"CS ARMY OF TENNESSEE","BRAGG",6.4,,,66326,,66326,0,18454,47872,8000,0,0,0,,0,0,15,0,"FF",,,,,,"PP","PS",,8,0,0,-4,6,TRUE,,"Confederacy"
201,"US ARMY OF THE CUMBERLAND","GRANT",4.8,,,61000,,61000,0,5824,55176,,0,0,0,,0,0,,0,"FF","EE","RF","FF","PP",,"BB","PS",,0,-8,10,-10,8,TRUE,,"USA"
202,"US ARMY OF THE POTOMAC","GRANT",8.399999,,,101895,,74000,27895,17666,84229,13003,0,0,0,318,0,0,2,0,"FF","EE","RF",,,,"RR","SS",,10,-10,10,-10,4,TRUE,,"USA"
203,"US ARMY OF THE POTOMAC","GRANT",5.2,2.8,4.8,90000,4.8,20000,70000,18399,71601,12000,0,0,0,274,0,0,,0,"FF","DE",,,,,"SS",,,10,-20,0,-40,5,TRUE,4.8,"USA"
204,"CS ARMY OF NORTHERN VIRGINIA","BRECKINRIDGE",2.8,,,5000,,5000,0,577,4423,900,0,0,0,14,0,0,0,0,"FF",,,,,,"PP",,,25,-10,10,-10,5,TRUE,,"Confederacy"
205,"US ARMY OF THE POTOMAC(+)","GRANT",9.600001,,,107907,,107907,0,11000,96907,12976,0,0,0,,0,0,,0,"FF",,,,,,"RR","SS",,0,-10,0,-36,5,TRUE,,"USA"
206,"US ARMY OF THE CUMBERLAND","SHERMAN",15.6,,,16225,,16225,0,2051,14174,,0,0,0,200,0,0,,0,"FF",,,,,,"RR","SS",,0,-13,22,0,4,TRUE,,"USA"
207,"CS ARMY OF TENNESSEE","HOOD",1.6,,,18832,,18832,0,2746,16086,,0,0,0,,0,0,,0,"FF",,,,,,"RR","WD",,10,-10,0,-11,3,TRUE,,"Confederacy"
208,"CS ARMY OF TENNESSEE","HOOD",4.8,,,36934,,36934,0,8000,28934,7150,0,0,0,,0,0,,0,"FF","EE","LF",,,,"RR","WD",,10,-10,6,0,3,TRUE,,"Confederacy"
209,"US ARMY OF THE JAMES","BUTLER",4,4.8,,63797,,16100,47697,8150,55647,,0,0,0,,0,0,,0,"FF",,,,,,"RR","SS",,10,-10,40,0,4,TRUE,,"USA"
210,"US V CORPS(+)","WARREN",2.4,,,20289,,11832,8457,4455,15834,,0,0,0,,0,0,,0,"FF","EE",,,,,"PP","SS",,10,-10,10,-10,5,TRUE,,"USA"
211,"US ARMY OF THE SHENANDOAH","SHERIDAN",3.6,,,37711,,37711,0,5018,32693,10000,0,0,0,100,0,0,,0,"FF","DE",,,,,"PP",,,10,-10,10,-10,6,TRUE,,"USA"
212,"CS II CORPS","EARLY",4.8,,,18410,,18410,0,2910,15500,3864,0,0,0,40,0,0,24,0,"FF","EE","LF",,,,"RR","WL",,10,-10,10,-10,3,TRUE,,"Confederacy"
213,"CS ARMY OF TENNESSEE","HOOD",4,,,26897,,26897,0,6252,20645,5000,0,0,0,,0,0,,0,"FF",,,,,,"RR",,,12,0,10,-10,3,TRUE,,"Confederacy"
214,"US ARMY OF THE CUMBERLAND(-)(+)","THOMAS",5.6,7.6,,49773,,49773,0,3061,46712,11643,0,0,0,170,0,0,,0,"FF","EE","LR",,,,"BB","PS",,10,-10,10,-10,8,TRUE,,"USA"
215,"CS ARMY OF TENNESSEE","JOHNSTON",2.8,,,27000,,27000,0,2606,24394,5000,0,0,0,,0,0,,0,"FF","EE","LF",,,,"RR","WD",,0,-20,26,-19,4,TRUE,,"Confederacy"
216,"US ARMY OF THE POTOMAC(+)","SHERIDAN",2.4,,,45247,,13000,32247,2781,42466,11815,0,0,0,,0,0,,0,"FF","EE","RF",,,,"RR","SS",,10,-10,10,-10,5,TRUE,,"USA"
217,"US V CORPS","SHERIDAN",2.4,,,30000,,30000,0,634,29366,11500,0,0,0,,0,0,,0,"FF","EE","LR",,,,"BB",,,10,0,58,0,8,TRUE,,"USA"
218,"US CAV CORPS MIL DIV MISSISSIPPI","WILSON",1.6,,,13500,,13500,0,400,13100,,0,0,0,8,0,0,0,0,"FF",,,,,,"BB",,,0,-33,0,-25,8,TRUE,,"USA"
219,"US VI CORPS(+)","SHERIDAN & WRIGHT",7.2,,,30000,,30000,0,1180,28820,,0,0,0,,0,0,,0,"FF","DE",,,,,"BB",,,33,0,10,-10,8,TRUE,,"USA"
220,"GER 3RD ARMY","FRIEDRICH WILHELM",5,,,51000,,51000,0,1600,49400,3100,0,0,0,144,0,0,0,0,"FF","DE",,,,,"BB","PS",,37,0,0,-38,7,TRUE,,"Germany"
221,"GER 3RD ARMY","FRIEDRICH WILHELM",10,,,82000,,82000,0,10700,71300,5600,0,0,0,300,0,0,0,0,"FF","DE",,,,,"PP","PS",,52,0,5,-5,7,TRUE,,"Germany"
222,"GER 1ST ARMY(+)","STEINMETZ",6,,,42000,,16000,26000,4900,37100,4500,0,0,0,108,0,0,0,0,"FF","DE",,,,,"PP","PS",,33,0,5,-5,7,TRUE,,"Germany"
223,"GER 1ST & 2ND ARMIES","MOLTKE",12,,,63000,,29000,34000,16000,47000,11000,0,0,0,486,0,0,0,0,"FF","EE","LF",,,,"PP",,,33,-31,5,-5,8,TRUE,,"Germany"
224,"GER 1ST & 2ND ARMIES","MOLTKE",16,,,187000,,187000,0,20200,166800,21000,0,0,0,732,0,0,0,0,"FF","EE","RF",,,,"PP","SS",,50,-50,5,-5,8,TRUE,,"Germany"
225,"GER 2ND & 3RD ARMIES","MOLTKE",13,,,200000,,200000,0,9000,191000,24000,0,0,0,701,0,0,0,0,"FF","DE",,,,,"BB",,,0,-17,5,-5,9,TRUE,,"Germany"
226,"FR ARMY OF THE LOIRE","AURELLE",10,,,60000,,60000,0,1800,58200,,0,0,0,150,0,0,0,0,"FF","EE","RF",,,,"BB",,,17,0,0,-33,6,TRUE,,"France"
227,"GER 2ND ARMY","FRIEDRICH KARL",60,,,86000,,86000,0,6300,79700,14800,0,0,0,459,0,0,,0,"FF",,,,,,"BB","PS",,15,-15,5,-5,7,TRUE,,"Germany"
228,"GER 2ND ARMY","FRIEDRICK KARL",25,,,72000,,72000,0,4000,68000,,0,0,0,324,0,0,0,0,"FF","EE","LF",,,,"BB","PS",,24,0,0,-15,7,TRUE,,"Germany"
229,"FR ARMY OF THE EAST","BOURBAKI",7.5,,,110000,,110000,0,8000,102000,9000,0,0,0,146,0,0,,0,"FF",,,,,,"RR","WD",,23,0,0,-50,3,TRUE,,"France"
230,"ZULU ARMY","MAVUMENGWANA & TSHINGWAYO",4,,,20000,,20000,0,3000,17000,0,0,0,0,0,0,0,0,0,"DE",,,"FF",,,"BB","PS",,0,-50,25,-25,9,TRUE,,"Zulu"
231,"ZULU ARMY","CETEWAYO",2,,,20000,,20000,0,1500,18500,0,0,0,0,0,0,0,0,0,"FF",,,,,,"RR","WD",,0,-25,25,-25,3,TRUE,,"Zulu"
232,"BOER ARMY","SMIDT",1,,,1200,,1200,0,6,1194,0,0,0,0,,0,0,0,0,"FF",,,,,,"BB",,,0,-50,1,-1,9,TRUE,,"South African Republic"
233,"BR ARMY","WOLSELEY",6.4,,,17401,,17401,0,469,16932,2785,0,0,0,61,0,0,,0,"FF",,,,,,"PP","PS",,5,0,5,-5,9,TRUE,,"Great Britain"
234,"MAHDISTS","ABDULLAHINI",3.2,,,55000,,55000,0,30700,24300,,0,0,0,0,0,0,,0,"FF",,,"EE","RF",,"RR","WD",,0,-27,0,-19,4,TRUE,,"Mahdists"
235,"ETH ARMY","MENELIK II",7,,,120000,,120000,0,17000,103000,17000,0,0,0,42,0,0,0,0,"DE",,,"FF",,,"BB","PS",,0,-25,25,-25,9,TRUE,,"Ethiopia"
236,"BR ARMY","METHUEN",4,,,8000,,8000,0,468,7532,0,0,0,0,16,0,0,0,0,"FF",,,,,,"RR",,,25,0,3,0,5,TRUE,,"Great Britain"
237,"BR ARMY","METHUEN",7.2,,,15000,,15000,0,948,14052,,0,0,0,29,0,0,,0,"FF",,,,,,"RR","WD",,0,-13,14,0,3,TRUE,,"Great Britain"
238,"BR ARMY","BULLER",9.5,,,13411,,13411,0,1126,12285,836,0,0,0,44,0,0,10,0,"FF",,,,,,"RR","WD",,34,0,1,0,2,TRUE,,"Great Britain"
239,"BR ARMY","BULLER",3.5,,,24000,,24000,0,1734,22266,,0,0,0,40,0,0,0,0,"FF",,,"EE","LF",,"PP","WD",,0,-25,0,-32,2,TRUE,,"Great Britain"
240,"BR ARMY","ROBERTS",4,,,15000,,15000,0,1270,13730,,0,0,0,32,0,0,0,0,"FF","DE",,,,,"RR",,,33,0,8,0,5,TRUE,,"Great Britain"
241,"US V CORPS","SHAFTER",3.2,,,15065,,15065,0,1572,13493,,0,0,0,38,0,0,0,0,"FF",,,,,,"PP",,,10,-10,10,-10,6,TRUE,,"USA"
242,"JAP 1ST ARMY","TAMEMOTO KUROKI",8,,,56000,,56000,0,1110,54890,1800,0,0,0,132,0,0,0,0,"EE","LF","RC",,,,"BB","PS",,0,-29,0,-21,8,TRUE,,"Japan"
243,"JAP 2ND ARMY","OKU",8,,,36000,,36000,0,1200,34800,2000,0,0,0,108,0,0,0,0,"FF",,,"EE","RF",,"BB","PS",,11,0,0,-17,9,TRUE,,"Japan"
244,"JAP ARMY GROUP","OYAMA",42,,,135000,,,,17500,117500,5000,0,0,0,552,0,0,0,0,"FF",,,"DE",,,"PP","PS",,63,0,37,0,6,TRUE,,"Japan"
245,"RUSS ARMY GROUP","KUROPATKIN",64,,,210000,,,,46000,164000,18000,0,0,0,928,0,0,45,0,"FF",,,,,,"SS",,,19,0,30,-7,4,TRUE,,"Russia"
246,"RUSS ARMY","GRIPPENBERG",24,,,58000,,58000,0,13000,45000,,0,0,0,350,0,0,,0,"FF",,,"EE","LF",,"RR","SS",,47,0,15,-23,5,TRUE,,"Russia"
247,"JAP ARMY GROUP","OYAMA",64,,,314000,,,,41000,273000,9000,0,0,0,892,0,0,0,0,"FF",,,"EE","RF",,"PP","PS",,59,0,15,0,7,TRUE,,"Japan"
248,"SERB 1ST ARMY","GEN PUTNIK",30,,,103000,,61800,41200,5000,98000,0,0,0,0,180,0,0,,0,"FF",,,,,,"PP",,,0,-10,0,-40,8,TRUE,,"Serbia"
249,"BUL ARMY GROUP","GEN DIMITRIEV",32,,,140000,,65000,75000,20000,120000,0,0,0,0,,0,0,,0,"FF","EE","LF",,,,"PP",,,0,-33,9,0,6,TRUE,,"Bulgaria"
250,"SERB 1ST ARMY","GEN PUTNIK",22,,,50000,,25000,25000,3000,47000,0,0,0,0,72,0,0,,0,"FF",,,"DE",,,"PP",,,0,-20,0,-33,7,TRUE,,"Serbia"
251,"SERB ARMY GROUP","GEN PUTNIK",37,,,120000,,120000,0,5000,115000,0,0,0,0,,0,0,0,0,"EE","LF","FF",,,,"BB","PS",,0,-17,10,-10,7,TRUE,,"Serbia"
252,"BUL 2ND ARMY(+)","GEN IVANHOFF",80,,,152000,,152000,0,9300,142700,0,0,0,0,444,0,0,,0,"FF",,,"FE",,,"BB",,,0,-25,2,0,8,TRUE,,"Bulgaria"
253,"POL ARMY GROUP","PILSUDSKI",335,,,160000,,,,50000,110000,0,1,1,0,179,,0,,,"EE","LF","FF",,,,"BB","PS",,25,0,20,-20,8,TRUE,,"Poland"
254,"POL ARMY GROUP","PILSUDSKI",320,,,80000,,,,20000,60000,0,,,,220,,,,,"EE","RR",,"FF",,,"BB","PS",,20,-20,20,-20,8,TRUE,,"Poland"
255,"IT VOL CORPS","GEN ROATTA",11,,,52000,,52000,0,6460,45540,0,50,,,230,200,15,10,17,"FF",,,"EE","LF",,"PP","RR","WD",10,-10,10,-10,4,TRUE,,"Italy"
256,"JAP I/75TH INF REGT(+)","COL SATO",3,,,1410,,,,178,1232,0,0,0,0,14,0,0,0,0,"EE","LF","FF","FF",,,"PP",,,15,-15,15,-15,7,TRUE,,"Japan"
257,"SOV 40TH RIFLE DIV(-)(+)","MARSHAL BLUCHER",3,,,4000,,,,400,3600,0,30,,,40,103,15,,0,"DE",,,,,,"RR","WD",,25,-25,13,-13,4,TRUE,,"USSR"
258,"SOV SPECIAL FAR EASTERN ARMY(-)","MARSHAL BLUCHER",6,,,20000,,,,4000,16000,0,200,,,100,407,50,,6,"FF","EE","RF","EE","LF",,"RR","PP","SS",20,-20,25,-25,5,TRUE,,"USSR"
259,"JAP 64TH INF REGT(-)(+)","COL YAMAGATA",3,,,1300,,,,278,1022,0,10,10,0,4,40,10,0,0,"FF","DE",,,,,"PP","SS",,15,-15,15,-15,5,TRUE,,"Japan"
260,"SOV 1ST ARMY GROUP","GEN ZHUKOV",50,,,57000,,57000,0,10000,47000,0,498,,,216,,,,,"FF","EE","RF","EE","LF",,"BB",,,20,-20,0,-10,7,TRUE,,"USSR"
261,"FIN 9TH INF DIV","COL SIILASVUO",32,,,9000,,4000,5000,2670,6330,0,0,0,0,8,,0,0,,"FF","DE",,"FF","DE",,"PP",,,10,0,10,-10,9,TRUE,,"Finland"
262,"FR 1ST & 2ND ARMIES, ARMY OF ALSACE","GEN JOFFRE",225,,,457000,,,,65340,391660,0,0,0,0,,0,0,,0,"FF",,,,,,"PP","RR",,0,-10,30,-30,4,TRUE,,"France"
263,"GER 6TH & 7TH ARMIES","GEN MOLTKE",225,,,350000,,,,11000,339000,0,0,0,0,,0,0,,0,"FF",,,,,,"PP","PS",,7,-8,30,-30,8,TRUE,,"Germany"
264,"FR 3RD & 4TH ARMIES","GEN JOFFRE",100,,,360000,,,,17196,342804,0,0,0,0,,0,0,,0,"FF",,,,,,"RR","WD",,0,-10,30,-30,3,TRUE,,"France"
265,"GER 2ND & 3RD ARMIES","GEN BUELOW",53,,,440000,,,,21018,418982,0,0,0,0,,0,0,,0,"FF",,,"EE","RF",,"PP","PS",,0,-10,30,-30,6,TRUE,,"Germany"
266,"GER 1ST ARMY","GEN KLUCK",35,,,260000,,,,6210,253790,0,0,0,0,600,0,0,,0,"FF",,,"EE","LF",,"PP",,,23,-38,47,0,6,TRUE,,"Germany"
267,"GER 1ST ARMY","GEN KLUCK",23,,,250000,,,,8970,241030,0,0,0,0,,0,0,,0,"FF","DE",,,,,"PP",,,0,-60,10,-10,6,TRUE,,"Germany"
