dbpedia,isqno,origwar,war,theater,name,NAMA,belligerenta,sidea,COA,uri_coa,NAMD,belligerentd,COD,uri_cod
Battle_of_the_Plains_of_Abraham,77,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,PLAINS OF ABRAHAM (QUEBEC),FR ARMY,France,B,MONTCALM,http://en.wikipedia.org/wiki/Louis-Joseph_de_Montcalm,BR ARMY,Great Britain,WOLFE,http://en.wikipedia.org/wiki/James_Wolfe
Battle_of_Maxen,78,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,MAXEN,AUS ARMY,Austria,B,DAUN,http://en.wikipedia.org/wiki/Count_Leopold_Joseph_von_Daun,PR ARMY,Prussia,FINCK,http://en.wikipedia.org/wiki/Friedrich_August_von_Finck
Battle_of_Warburg,79,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,WARBURG,PR & ALLIED ARMY,Hanover,A,BRUNSWICK,http://en.wikipedia.org/wiki/Duke_Ferdinand_of_Brunswick,FR ARMY,France,MUY,
Battle_of_Liegnitz_(1760),80,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,LIEGNITZ,AUS & RUSS ARMY,Austria,B,DAUN & LAUDON,http://en.wikipedia.org/wiki/Ernst_Gideon_Freiherr_von_Laudon http://en.wikipedia.org/wiki/Count_Leopold_Joseph_von_Daun,PR ARMY,Prussia,FREDERICK II,http://en.wikipedia.org/wiki/Frederick_the_Great
Battle_of_Torgau,81,THE SEVEN YEAR'S WAR,Seven Years' War of 1754-1763,,TORGAU,PR ARMY,Prussia,A,FREDERICK II,http://en.wikipedia.org/wiki/Frederick_the_Great,AUS ARMY,Austria,DAUN,http://en.wikipedia.org/wiki/Count_Leopold_Joseph_von_Daun
Battle_of_Bunker_Hill,82,AMERICAN REVOLUTION,American Revolutionary War of 1775-1783,,BUNKER HILL,BR ARMY,Great Britain,A,GAGE,http://en.wikipedia.org/wiki/Thomas_Gage,AM PATRIOTS,USA,PRESCOTT,http://en.wikipedia.org/wiki/William_Prescott
Battle_of_Quebec_(1775),83,AMERICAN REVOLUTION,American Revolutionary War of 1775-1783,,QUEBEC,AM ARMY,USA,B,MONTGOMERY,http://en.wikipedia.org/wiki/Richard_Montgomery,BR ARMY,Great Britain,CARLETON,"http://en.wikipedia.org/wiki/Guy_Carleton,_1st_Baron_Dorchester"
Battle_of_White_Plains,84,AMERICAN REVOLUTION,American Revolutionary War of 1775-1783,,WHITE PLAINS,BR ARMY,Great Britain,A,HOWE,"http://en.wikipedia.org/wiki/William_Howe,_5th_Viscount_Howe",AM ARMY,USA,WASHINGTON,"http://en.wikipedia.org/wiki/William_Howe,_5th_Viscount_Howe"
Battle_of_Trenton,85,AMERICAN REVOLUTION,American Revolutionary War of 1775-1783,,TRENTON,AM ARMY,USA,B,WASHINGTON,"http://en.wikipedia.org/wiki/William_Howe,_5th_Viscount_Howe",RALL'S HESSIAN BDE,Great Britain,RALL,http://en.wikipedia.org/wiki/Johann_Rall
Battle_of_Princeton,86,AMERICAN REVOLUTION,American Revolutionary War of 1775-1783,,PRINCETON,AM ARMY,USA,B,WASHINGTON,"http://en.wikipedia.org/wiki/William_Howe,_5th_Viscount_Howe",BR ARMY (DET.),Great Britain,MAWHOOD,http://en.wikipedia.org/wiki/Charles_Mawhood
Battles_of_Saratoga,87,AMERICAN REVOLUTION,American Revolutionary War of 1775-1783,,FREEMAN'S FARM,BR ARMY,Great Britain,A,BURGOYNE,http://en.wikipedia.org/wiki/John_Burgoyne,AM ARMY,USA,GATES,http://en.wikipedia.org/wiki/Horatio_Gates
Battle_of_Germantown,88,AMERICAN REVOLUTION,American Revolutionary War of 1775-1783,,GERMANTOWN,AM ARMY,USA,B,WASHINGTON,"http://en.wikipedia.org/wiki/William_Howe,_5th_Viscount_Howe",BR ARMY,Great Britain,HOWE,"http://en.wikipedia.org/wiki/William_Howe,_5th_Viscount_Howe"
Battles_of_Saratoga,89,AMERICAN REVOLUTION,American Revolutionary War of 1775-1783,,BEMIS HEIGHTS,BR ARMY,Great Britain,A,BURGOYNE,http://en.wikipedia.org/wiki/John_Burgoyne,AM ARMY,USA,GATES,http://en.wikipedia.org/wiki/Horatio_Gates
Battle_of_Monmouth,90,AMERICAN REVOLUTION,American Revolutionary War of 1775-1783,,MONMOUTH COURT HOUSE,BR ARMY,Great Britain,A,CLINTON,http://en.wikipedia.org/wiki/Henry_Clinton_(American_War_of_Independence),AM ARMY,USA,WASHINGTON,"http://en.wikipedia.org/wiki/William_Howe,_5th_Viscount_Howe"
Battle_of_Camden,91,AMERICAN REVOLUTION,American Revolutionary War of 1775-1783,,CAMDEN,BR ARMY,Great Britain,A,CORNWALLIS,http://en.wikipedia.org/wiki/Charles_Cornwallis,AM ARMY,USA,GATES,http://en.wikipedia.org/wiki/Horatio_Gates
Battle_of_Cowpens,92,AMERICAN REVOLUTION,American Revolutionary War of 1775-1783,,COWPENS,BR ARMY,Great Britain,A,TARLETON,http://en.wikipedia.org/wiki/Banastre_Tarleton,AM ARMY,USA,MORGAN,Battle_of_Cowpens
Battle_of_Guilford_Court_House,93,AMERICAN REVOLUTION,American Revolutionary War of 1775-1783,,GUILFORD COURT HOUSE,BR ARMY,Great Britain,A,CORNWALLIS,http://en.wikipedia.org/wiki/Charles_Cornwallis,AM ARMY,USA,GREENE,http://en.wikipedia.org/wiki/Nathanael_Greene
Battle_of_Hobkirk%27s_Hill,94,AMERICAN REVOLUTION,American Revolutionary War of 1775-1783,,HOBKIRK'S HILL,BR ARMY,Great Britain,A,RAWDON,"http://en.wikipedia.org/wiki/Francis_Rawdon-Hastings,_1st_Marquess_of_Hastings",AM ARMY,USA,GREENE,http://en.wikipedia.org/wiki/Nathanael_Greene
Battle_of_Eutaw_Springs,95,AMERICAN REVOLUTION,American Revolutionary War of 1775-1783,,EUTAW SPRINGS,AM ARMY,USA,B,GREENE,http://en.wikipedia.org/wiki/Nathanael_Greene,BR ARMY,Great Britain,STEWART,
Battle_of_Valmy,96,WAR OF THE FIRST COALITION,War of the First Coalition of 1792-1797,,VALMY,ALLIED ARMY,Prussia,B,BRUNSWICK,"http://en.wikipedia.org/wiki/Charles_William_Ferdinand,_Duke_of_Brunswick",ARMIES OF NORTH & CENTER,France,DUMOURIEZ,http://en.wikipedia.org/wiki/Charles_Fran%C3%A7ois_Dumouriez
Battle_of_Jemappes,97,WAR OF THE FIRST COALITION,War of the First Coalition of 1792-1797,,JEMAPPES,FRENCH ARMY OF THE NORTH,France,A,DUMOURIEZ,http://en.wikipedia.org/wiki/Charles_Fran%C3%A7ois_Dumouriez,ALLIED ARMY,Austria,TESCHEN,http://en.wikipedia.org/wiki/Albert_of_Saxe-Teschen
Battle_of_Neerwinden_(1793),98,WAR OF THE FIRST COALITION,War of the First Coalition of 1792-1797,,NEERWINDEN,FRENCH ARMY OF THE NORTH,France,A,DUMOURIEZ,http://en.wikipedia.org/wiki/Charles_Fran%C3%A7ois_Dumouriez,AUSTRIAN ARMY,Austria,SAXE-COBURG,http://en.wikipedia.org/wiki/Prince_Josias_of_Coburg
Battle_of_Hondshoote_(1793),99,WAR OF THE FIRST COALITION,War of the First Coalition of 1792-1797,,HONDSCHOOTE,FRENCH ARMY OF THE NORTH,France,A,HOUCHARD,http://en.wikipedia.org/wiki/Jean_Nicolas_Houchard,BR & HAN ARMY,Great Britain,YORK,"http://en.wikipedia.org/wiki/Prince_Frederick,_Duke_of_York_and_Albany"
Battle_of_Wattignies,100,WAR OF THE FIRST COALITION,War of the First Coalition of 1792-1797,,WATTIGNIES,FRENCH ARMY OF THE NORTH,France,A,JOURDAN,http://en.wikipedia.org/wiki/Jean-Baptiste_Jourdan,AUSTRIAN ARMY,Austria,SAXE-COBURG,http://en.wikipedia.org/wiki/Prince_Josias_of_Coburg
Battle_of_Fleurus_(1794),101,WAR OF THE FIRST COALITION,War of the First Coalition of 1792-1797,,FLEURUS,AUSTRIAN ARMY,Austria,B,SAXE-COBURG,http://en.wikipedia.org/wiki/Prince_Josias_of_Coburg,FRENCH ARMY OF THE NORTH,France,JOURDAN,http://en.wikipedia.org/wiki/Jean-Baptiste_Jourdan
Battle_of_Lodi,102,WAR OF THE FIRST COALITION,War of the First Coalition of 1792-1797,,LODI,FRENCH ARMY OF ITALY,France,A,BONAPARTE,http://en.wikipedia.org/wiki/Napoleon_I_of_France,AUSTRIAN ARMY,Austria,BEAULIEU,http://en.wikipedia.org/wiki/Johann_Peter_Beaulieu
Battle_of_Castiglione,103,WAR OF THE FIRST COALITION,War of the First Coalition of 1792-1797,,CASTIGLIONE,FRENCH ARMY OF ITALY,France,A,BONAPARTE,http://en.wikipedia.org/wiki/Napoleon_I_of_France,AUSTRIAN ARMY,Austria,WURMSER,http://en.wikipedia.org/wiki/Dagobert_Sigmund_von_Wurmser
Battle_of_Neresheim,104,WAR OF THE FIRST COALITION,War of the First Coalition of 1792-1797,,NERESHEIM,AUS ARMY,Austria,B,ARCHDUKE CHARLES,"http://en.wikipedia.org/wiki/Archduke_Charles,_Duke_of_Teschen",FR ARMY OF THE RHINE AND MOSELLE,France,MOREAU,http://en.wikipedia.org/wiki/Jean_Victor_Marie_Moreau
Battle_of_Würzburg,105,WAR OF THE FIRST COALITION,War of the First Coalition of 1792-1797,,WUERZBURG,AUS ARMY,Austria,B,ARCHDUKE CHARLES,"http://en.wikipedia.org/wiki/Archduke_Charles,_Duke_of_Teschen",FR ARMY OF THE SAMBRE AND MEUSE,France,JOURDAN,http://en.wikipedia.org/wiki/Jean-Baptiste_Jourdan
Battle_of_the_Bridge_of_Arcole,106,WAR OF THE FIRST COALITION,War of the First Coalition of 1792-1797,,ARCOLA,FR ARMY OF ITALY,France,A,BONAPARTE,http://en.wikipedia.org/wiki/Napoleon_I_of_France,AUS ARMY,Austria,ALVINTZI,http://en.wikipedia.org/wiki/Jozsef_Alvinczi
Battle_of_Rivoli,107,WAR OF THE FIRST COALITION,War of the First Coalition of 1792-1797,,RIVOLI,AUS ARMY,Austria,B,ALVINTZI,http://en.wikipedia.org/wiki/Jozsef_Alvinczi,FR ARMY OF ITALY,France,BONAPARTE,http://en.wikipedia.org/wiki/Napoleon_I_of_France
Battle_of_the_Pyramids,108,WAR OF THE FIRST COALITION,War of the First Coalition of 1792-1797,,PYRAMIDS,FR ARMY,France,A,BONAPARTE,http://en.wikipedia.org/wiki/Napoleon_I_of_France,MAMELUKE ARMY,Ottoman Empire,MURAD BEY,http://en.wikipedia.org/wiki/Murad_Bey
Battle_of_Stockach_(1799),109,WAR OF THE SECOND COALITION,War of the Second Coalition of 1798-1802,,STOCKACH I,FR ARMY,France,A,JOURDAN,http://en.wikipedia.org/wiki/Jean-Baptiste_Jourdan,AUS ARMY,Austria,ARCHDUKE CHARLES,"http://en.wikipedia.org/wiki/Archduke_Charles,_Duke_of_Teschen"
Battle_of_Mount_Tabor_(1799),110,WAR OF THE FIRST COALITION,War of the Second Coalition of 1798-1802,,MOUNT TABOR,TURK ARMY,Ottoman Empire,B,ABDALLAH PASHA,http://en.wikipedia.org/wiki/Jezzar_Pasha,FR ARMY,France,BONAPARTE,http://en.wikipedia.org/wiki/Napoleon_I_of_France
First_Battle_of_Zurich,111,WAR OF THE SECOND COALITION,War of the Second Coalition of 1798-1802,,ZURICH I,AUS ARMY,Austria,B,ARCHDUKE CHARLES,"http://en.wikipedia.org/wiki/Archduke_Charles,_Duke_of_Teschen",FR ARMY,France,MASSENA,http://en.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na
Battle_of_Novi_(1799),112,WAR OF THE SECOND COALITION,War of the Second Coalition of 1798-1802,,NOVI,ALLIED ARMY,Russia,B,SUVAROV,http://en.wikipedia.org/wiki/Alexander_Suvorov,FR ARMY OF ITALY,France,JOUBERT & MOREAU,http://en.wikipedia.org/wiki/Barth%C3%A9lemy_Catherine_Joubert http://en.wikipedia.org/wiki/Jean_Victor_Marie_Moreau 
Second_Battle_of_Zurich,113,WAR OF THE SECOND COALITION,War of the Second Coalition of 1798-1802,,ZURICH III,FR ARMY,France,A,MASSENA,http://en.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na,ALLIED ARMY,Russia,KORSAKOV,http://en.wikipedia.org/wiki/Alexander_Korsakov
Battle_of_Messkirch,114,WAR OF THE SECOND COALITION,War of the Second Coalition of 1798-1802,,MOESKIRCH,FR ARMY,France,A,MOREAU,http://en.wikipedia.org/wiki/Jean_Victor_Marie_Moreau,AUS ARMY,Austria,KRAY,
Battle_of_Marengo,115,WAR OF THE SECOND COALITION,War of the Second Coalition of 1798-1802,,MARENGO,AUS ARMY,Austria,B,MELAS,http://en.wikipedia.org/wiki/Michael_von_Melas,FR ARMY OF THE RESERVE,France,BONAPARTE,http://en.wikipedia.org/wiki/Napoleon_I_of_France
Battle_of_Hohenlinden,116,WAR OF THE SECOND COALITION,War of the Second Coalition of 1798-1802,,HOHENLINDEN,AUS ARMY,Austria,B,ARCHDUKE JOHN,http://en.wikipedia.org/wiki/Archduke_John_of_Austria,FR ARMY,France,MOREAU,http://en.wikipedia.org/wiki/Jean_Victor_Marie_Moreau
Battle_of_Austerlitz,117,THE NAPOLEONIC WARS,War of the Third Coalition of 1803-1806,,AUSTERLITZ,ALLIED ARMY,Russia,B,KUTUZOV,http://en.wikipedia.org/wiki/Mikhail_Kutuzov,FR ARMY,France,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France
Battle_of_Jena-Auerstedt,118,THE NAPOLEONIC WARS,War of the Fourth Coalition of 1806-1807,,JENA,FR ARMY,France,A,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France,PR ARMY,Prussia,HOHENLOHE,"http://en.wikipedia.org/wiki/Frederick_Louis,_Prince_of_Hohenlohe-Ingelfingen"
Battle_of_Jena-Auerstedt,119,THE NAPOLEONIC WARS,War of the Fourth Coalition of 1806-1807,,AUERSTADT,PR ARMY,Prussia,B,BRUNSWICK,"http://en.wikipedia.org/wiki/Charles_William_Ferdinand,_Duke_of_Brunswick",FR III CORPS,France,DAVOUT,http://en.wikipedia.org/wiki/Louis_Nicolas_Davout
Battle_of_Eylau,120,THE NAPOLEONIC WARS,War of the Fourth Coalition of 1806-1807,,EYLAU,FR ARMY,France,A,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France,RUSS ARMY,Russia,BENNIGSEN,"http://en.wikipedia.org/wiki/Levin_August,_Count_von_Bennigsen"
Battle_of_Friedland,121,THE NAPOLEONIC WARS,War of the Fourth Coalition of 1806-1807,,FRIEDLAND,FR ARMY,France,A,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France,RUSS ARMY,Russia,BENNIGSEN,"http://en.wikipedia.org/wiki/Levin_August,_Count_von_Bennigsen"
Battle_of_Vimeiro,122,THE NAPOLEONIC WARS,Peninsular War of 1808-1814,,VIMIERO,FR ARMY,France,A,JUNOT,http://en.wikipedia.org/wiki/Jean-Andoche_Junot,BR & PORT ARMY,Great Britain,WELLESLEY,"http://en.wikipedia.org/wiki/Arthur_Wellesley,_1st_Duke_of_Wellington"
Battle_of_Corunna,123,THE NAPOLEONIC WARS,Peninsular War of 1808-1814,,CORUNNA,FR ARMY,France,A,SOULT,http://en.wikipedia.org/wiki/Nicolas_Jean-de-Dieu_Soult,BR ARMY,Great Britain,MOORE,http://en.wikipedia.org/wiki/John_Moore_(British_soldier)
Battle_of_Eckmühl,124,THE NAPOLEONIC WARS,War of the Fifth Coalition of 1809,,ECKMUEHL,AUS ARMY,Austria,A,ARCHDUKE CHARLES,"http://en.wikipedia.org/wiki/Archduke_Charles,_Duke_of_Teschen",FR ARMY,France,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France
Battle_of_Aspern-Essling,125,THE NAPOLEONIC WARS,War of the Fifth Coalition of 1809,,ASPERN-ESSLING,AUS ARMY,Austria,A,ARCHDUKE CHARLES,"http://en.wikipedia.org/wiki/Archduke_Charles,_Duke_of_Teschen",FR ARMY,France,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France
Battle_of_Raab,126,THE NAPOLEONIC WARS,War of the Fifth Coalition of 1809,,THE RAAB,FR ARMY,France,B,EUGENE,http://en.wikipedia.org/wiki/Eug%C3%A8ne_de_Beauharnais,AUS ARMY,Austria,JOHN,http://en.wikipedia.org/wiki/Archduke_John_of_Austria
Battle_of_Wagram,127,THE NAPOLEONIC WARS,War of the Fifth Coalition of 1809,,WAGRAM,FR ARMY,France,B,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France,AUS ARMY,Austria,ARCHDUKE CHARLES,"http://en.wikipedia.org/wiki/Archduke_Charles,_Duke_of_Teschen"
Battle_of_Talavera,128,THE NAPOLEONIC WARS,Peninsular War of 1808-1814,,TALAVERA,FR ARMY,France,A,JOSEPH BONAPARTE,http://en.wikipedia.org/wiki/Joseph_Bonaparte,BR & SP ARMIES,Great Britain|Spain,WELLESLLEY & CUESTA,"http://en.wikipedia.org/wiki/Arthur_Wellesley,_1st_Duke_of_Wellington"
Battle_of_Bussaco,129,THE NAPOLEONIC WARS,Peninsular War of 1808-1814,,BUSSACO,FR ARMY OF PORTUGAL,France,A,MASSENA,http://en.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na,BR & PORT ARMIES,Great Britain,WELLINGTON,"http://en.wikipedia.org/wiki/Arthur_Wellesley,_1st_Duke_of_Wellington"
Battle_of_Fuentes_de_Oñoro,130,THE NAPOLEONIC WARS,Peninsular War of 1808-1814,,FUENTES DE ONORO,FR ARMY,France,A,MASSENA,http://en.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na,BR & PORT ARMIES,Great Britain,WELLINGTON,"http://en.wikipedia.org/wiki/Arthur_Wellesley,_1st_Duke_of_Wellington"
Battle_of_Albuera,131,THE NAPOLEONIC WARS,Peninsular War of 1808-1814,,ALBUERA,FR ARMY,France,A,SOULT,http://en.wikipedia.org/wiki/Jean_de_Dieu_Soult,"BR, PORT & SP ARMIES",Great Britain,BERESFORD,"http://en.wikipedia.org/wiki/William_Carr_Beresford,_1st_Viscount_Beresford"
Battle_of_Salamanca,132,THE NAPOLEONIC WARS,Peninsular War of 1808-1814,,SALAMANCA,BR ALLIED ARMY,Great Britain,B,WELLINGTON,"http://en.wikipedia.org/wiki/Arthur_Wellesley,_1st_Duke_of_Wellington",FR ARMY,France,MARMONT,Battle_of_Salamanca
Battle_of_Vittoria,133,THE NAPOLEONIC WARS,Peninsular War of 1808-1814,,VITTORIA,BR ALLIED ARMY,Great Britain,B,WELLINGTON,"http://en.wikipedia.org/wiki/Arthur_Wellesley,_1st_Duke_of_Wellington",FR ARMY,France,JOSEPH BONAPARTE & JOURDAN,http://en.wikipedia.org/wiki/Joseph_Bonaparte http://en.wikipedia.org/wiki/Jean-Baptiste_Jourdan
Battle_of_Borodino,134,THE NAPOLEONIC WARS,French Invasion of Russia of 1812,,BORODINO,FR ARMY,France,A,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France,RUSS ARMY,Russia,KUTUSOV,http://en.wikipedia.org/wiki/Mikhail_Kutuzov
Battle_of_Lützen_(1813),135,THE NAPOLEONIC WARS,War of the Sixth Coalition of 1812-1814,,LUETZEN,RUSS & PR ARMIES,Russia|Prussia,B,WITTGENSTEIN & BLUECHER,http://en.wikipedia.org/wiki/Gebhard_Leberecht_von_Bl%C3%BCcher http://en.wikipedia.org/wiki/Peter_Wittgenstein,FR ARMY,France,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France
Battle_of_Bautzen,136,THE NAPOLEONIC WARS,War of the Sixth Coalition of 1812-1814,,BAUTZEN,FR ARMY,France,A,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France,PR & RUSS ARMIES,Prussia|Russia,WITTGENSTEIN & BLUECHER,http://en.wikipedia.org/wiki/Gebhard_Leberecht_von_Bl%C3%BCcher http://en.wikipedia.org/wiki/Peter_Wittgenstein
Battle_of_Dresden,137,THE NAPOLEONIC WARS,War of the Sixth Coalition of 1812-1814,,DRESDEN,"ALLIED (AUS, RUSS, PR)",Austria,B,SCHWARZENBERG,http://en.wikipedia.org/wiki/Karl_Philipp_F%C3%BCrst_zu_Schwarzenberg,FR ARMY,France,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France
Battle_of_Leipzig,138,THE NAPOLEONIC WARS,War of the Sixth Coalition of 1812-1814,,LEIPZIG,"ALLIED (AUS, RUSS, PR, SW) ARMY",Austria,B,SCHWARZENBERG,http://en.wikipedia.org/wiki/Karl_Philipp_F%C3%BCrst_zu_Schwarzenberg,FR ARMY,France,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France
Battle_of_Hanau,139,THE NAPOLEONIC WARS,War of the Sixth Coalition of 1812-1814,,HANAU,FR ARMY,France,A,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France,BAV ARMY,Bavaria,WREDE,http://en.wikipedia.org/wiki/Karl_Philipp_von_Wrede
Battle_of_La_Rothière,140,THE NAPOLEONIC WARS,War of the Sixth Coalition of 1812-1814,,LA ROTHIERE,ALLIED ARMY OF SILESIA,Prussia,B,BLUECHER,http://en.wikipedia.org/wiki/Gebhard_von_Bl%C3%BCcher,FR ARMY,France,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France
Battle_of_Laon,141,THE NAPOLEONIC WARS,War of the Sixth Coalition of 1812-1814,,LAON,FR ARMY,France,A,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France,ALLIED ARMY OF SILESIA,Prussia,BLUECHER,http://en.wikipedia.org/wiki/Gebhard_von_Bl%C3%BCcher
Battle_of_Arcis-sur-Aube,142,THE NAPOLEONIC WARS,War of the Sixth Coalition of 1812-1814,,ARCIS-SUR-AUBE,ALLIED ARMY OF BOHEMIA,Austria,B,SCHWARZENBERG,"http://en.wikipedia.org/wiki/Karl_Philipp,_Prince_of_Schwarzenberg",FR ARMY,France,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France
Battle_of_Ligny,143,THE NAPOLEONIC WARS,Hundred Days of 1814,,LIGNY,FR ARMY OF NORTH (ELEMENTS OF),France,A,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France,PR ARMY (ELMS),Prussia,BLUECHER,http://en.wikipedia.org/wiki/Gebhard_Leberecht_von_Bl%C3%BCcher
Battle_of_Quatre_Bras,144,THE NAPOLEONIC WARS,Hundred Days of 1814,,QUATRE BRAS,FR ARMY OF NORTH (ELEMENTS OF),France,A,NEY,http://en.wikipedia.org/wiki/Michel_Ney,BR & DU ARMY (ELMS),Great Britain,WELLINGTON,"http://en.wikipedia.org/wiki/Arthur_Wellesley,_1st_Duke_of_Wellington"
Battle_of_Waterloo,145,THE NAPOLEONIC WARS,Hundred Days of 1814,,WATERLOO,FR ARMY OF NORTH (ELEMENTS OF),France,A,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France,"ALLIED (BR, DU, PR) ARMIES",Great Britain|Prussia,WELLINGTON & BLUECHER,"http://en.wikipedia.org/wiki/Arthur_Wellesley,_1st_Duke_of_Wellington http://en.wikipedia.org/wiki/Gebhard_Leberecht_von_Bl%C3%BCcher"
Battle_of_the_Thames,146,WAR OF 1812,War of 1812 of 1812-1815,,THE THAMES,US ARMY,USA,A,HARRISON,Battle_of_the_Thames,BR ARMY,Great Britain,PROCTOR,http://en.wikipedia.org/wiki/Henry_Procter_(British_Army_officer)
Battle_of_Chippawa,147,WAR OF 1812,War of 1812 of 1812-1815,,CHIPPEWA,BR ARMY,Great Britain,B,RIALL,http://en.wikipedia.org/wiki/Phineas_Riall,US ARMY,USA,BROWN,http://en.wikipedia.org/wiki/Jacob_Brown
Battle_of_Lundy%27s_Lane,148,WAR OF 1812,War of 1812 of 1812-1815,,LUNDY'S LANE,US ARMY,USA,A,BROWN,http://en.wikipedia.org/wiki/Jacob_Brown,BR ARMY,Great Britain,DRUMMOND,http://en.wikipedia.org/wiki/Gordon_Drummond
Battle_of_New_Orleans,149,WAR OF 1812,War of 1812 of 1812-1815,,NEW ORLEANS,BR ARMY,Great Britain,B,PAKENHAM,http://en.wikipedia.org/wiki/Edward_Pakenham,US ARMY,USA,JACKSON,http://en.wikipedia.org/wiki/Andrew_Jackson
Battle_of_Boyacá,150,LATIN AMERICAN WARS OF INDEPENDENCE,First Bolivar Expedition of 1817-1819,,BOYACA,PATRIOT ARMY,Independentalists,B,BOLIVAR,http://en.wikipedia.org/wiki/Sim%C3%B3n_Antonio_Bol%C3%ADvar,SP ARMY,Spain,BARREIRO,
Battle_of_Carabobo,151,LATIN AMERICAN WARS OF INDEPENDENCE,Second Bolívar Expedition of 1821-1822,,CARABOBO,PATRIOT ARMY,Independentalists,B,BOLIVAR,http://en.wikipedia.org/wiki/Sim%C3%B3n_Antonio_Bol%C3%ADvar,SP ARMY,Spain,LA TORRE,http://en.wikipedia.org/wiki/Miguel_de_la_Torre
,152,LATIN AMERICAN WARS OF INDEPENDENCE,Second Bolívar Expedition of 1821-1822,,BOMBONA,PATRIOT ARMY,Independentalists,B,BOLIVAR,http://en.wikipedia.org/wiki/Sim%C3%B3n_Antonio_Bol%C3%ADvar,SP ARMY,Spain,GARCIA,
Battle_of_Pichincha,153,LATIN AMERICAN WARS OF INDEPENDENCE,Second Bolívar Expedition of 1821-1822,,PICHINCHA,SP ARMY,Spain,A,AYMERICH,http://en.wikipedia.org/wiki/Melchor_Aymerich,PATRIOT ARMY,Independentalists,SUCRE,http://en.wikipedia.org/wiki/Antonio_Jos%C3%A9_de_Sucre
Battle_of_Junín,154,LATIN AMERICAN WARS OF INDEPENDENCE,Liberation of Peru of 1824-1825,,JUNIN,PATRIOT ARMY,Independentalists,B,BOLIVAR,http://en.wikipedia.org/wiki/Sim%C3%B3n_Antonio_Bol%C3%ADvar,SP ARMY,Spain,CANTERAC,http://en.wikipedia.org/wiki/Jos%C3%A9_de_Canterac
Battle_of_Ayacucho,155,LATIN AMERICAN WARS OF INDEPENDENCE,Liberation of Peru of 1824-1825,,AYACUCHO,SP ARMY,Spain,A,LA SERNA,http://en.wikipedia.org/wiki/Jos%C3%A9_de_la_Serna,PATRIOT ARMY,Independentalists,SUCRE,http://en.wikipedia.org/wiki/Antonio_Jos%C3%A9_de_Sucre
Battle_of_San_Jacinto,156,WAR OF TEXAN INDEPENDENCE,Texan War of 1835-1836,,SAN JACINTO,TEXAN VOL ARMY,Texas,A,HOUSTON,http://en.wikipedia.org/wiki/Sam_Houston,MEX ARMY,Mexico,SANTA ANNA,http://en.wikipedia.org/wiki/Antonio_L%C3%B3pez_de_Santa_Anna
Battle_of_Palo_Alto,157,US-MEXICAN WAR,Mexican-American War of 1846-1847,,PALO ALTO,US ARMY,USA,A,TAYLOR,http://en.wikipedia.org/wiki/Zachary_Taylor,MEX ARMY,Mexico,ARISTA,http://en.wikipedia.org/wiki/Mariano_Arista
Battle_of_Resaca_de_la_Palma,158,US-MEXICAN WAR,Mexican-American War of 1846-1847,,RESACA DE LA PALMA,US ARMY,USA,A,TAYLOR,http://en.wikipedia.org/wiki/Zachary_Taylor,MEX ARMY,Mexico,ARISTA,http://en.wikipedia.org/wiki/Mariano_Arista
Battle_of_Buena_Vista,159,US-MEXICAN WAR,Mexican-American War of 1846-1847,,BUENA VISTA,MEX ARMY,Mexico,B,SANTA ANNA,http://en.wikipedia.org/wiki/Antonio_L%C3%B3pez_de_Santa_Anna,US ARMY,USA,TAYLOR,http://en.wikipedia.org/wiki/Zachary_Taylor
