,isqno,attacker,war,battle,name,cdb13_actors,commanders,uri
156,70,0,THE SEVEN YEAR'S WAR,LEUTHEN,AUS ARMY,Austria,LORRAINE,http://en.wikipedia.org/wiki/Prince_Charles_Alexander_of_Lorraine
157,70,1,THE SEVEN YEAR'S WAR,LEUTHEN,PR ARMY,Prussia,FREDERICK II,http://en.wikipedia.org/wiki/Frederick_the_Great
158,71,0,THE SEVEN YEAR'S WAR,CREFELD,FR ARMY,France,CLERMONT,http://en.wikipedia.org/wiki/Louis_de_Bourbon_(1709%E2%80%931771)
159,71,1,THE SEVEN YEAR'S WAR,CREFELD,PR ALLIED ARMY,Hanover,FERDINAND,http://en.wikipedia.org/wiki/Duke_Ferdinand_of_Brunswick
160,72,0,THE SEVEN YEAR'S WAR,ZORNDORF,RUSS ARMY,Russia,FERMOR,http://en.wikipedia.org/wiki/William_Fermor
161,72,1,THE SEVEN YEAR'S WAR,ZORNDORF,PR ARMY,Prussia,FREDERICK II,http://en.wikipedia.org/wiki/Frederick_the_Great
162,73,0,THE SEVEN YEAR'S WAR,HOCHKIRCH,PR ARMY,Prussia,FREDERICK II,http://en.wikipedia.org/wiki/Frederick_the_Great
163,73,1,THE SEVEN YEAR'S WAR,HOCHKIRCH,AUS ARMY,Austria,DAUN,http://en.wikipedia.org/wiki/Count_Leopold_Joseph_von_Daun
164,74,0,THE SEVEN YEAR'S WAR,BERGEN,FR ARMY,France,BROGLIE,"http://en.wikipedia.org/wiki/Victor-Fran%C3%A7ois,_2nd_duc_de_Broglie"
165,74,1,THE SEVEN YEAR'S WAR,BERGEN,PR & ALLIED ARMY,Hanover,BRUNSWICK,http://en.wikipedia.org/wiki/Duke_Ferdinand_of_Brunswick
166,75,0,THE SEVEN YEAR'S WAR,MINDEN,FR ARMY,France,CONTADES,http://en.wikipedia.org/wiki/Louis_Georges_%C3%89rasme_de_Contades
167,75,1,THE SEVEN YEAR'S WAR,MINDEN,PR & ALLIED ARMY,Hanover,BRUNSWICK,http://en.wikipedia.org/wiki/Duke_Ferdinand_of_Brunswick
168,76,0,THE SEVEN YEAR'S WAR,KUNERSDORF,RUSS & AUS ARMY,Russia,SALTYKOV,http://en.wikipedia.org/wiki/Pyotr_Saltykov
169,76,1,THE SEVEN YEAR'S WAR,KUNERSDORF,PR ARMY,Prussia,FREDERICK II,http://en.wikipedia.org/wiki/Frederick_the_Great
170,77,0,THE SEVEN YEAR'S WAR,PLAINS OF ABRAHAM (QUEBEC),BR ARMY,Great Britain,WOLFE,http://en.wikipedia.org/wiki/James_Wolfe
171,77,1,THE SEVEN YEAR'S WAR,PLAINS OF ABRAHAM (QUEBEC),FR ARMY,France,MONTCALM,http://en.wikipedia.org/wiki/Louis-Joseph_de_Montcalm
172,78,0,THE SEVEN YEAR'S WAR,MAXEN,PR ARMY,Prussia,FINCK,http://en.wikipedia.org/wiki/Friedrich_August_von_Finck
173,78,1,THE SEVEN YEAR'S WAR,MAXEN,AUS ARMY,Austria,DAUN,http://en.wikipedia.org/wiki/Count_Leopold_Joseph_von_Daun
174,79,0,THE SEVEN YEAR'S WAR,WARBURG,FR ARMY,France,MUY,
175,79,1,THE SEVEN YEAR'S WAR,WARBURG,PR & ALLIED ARMY,Hanover,BRUNSWICK,http://en.wikipedia.org/wiki/Duke_Ferdinand_of_Brunswick
176,80,0,THE SEVEN YEAR'S WAR,LIEGNITZ,PR ARMY,Prussia,FREDERICK II,http://en.wikipedia.org/wiki/Frederick_the_Great
177,80,1,THE SEVEN YEAR'S WAR,LIEGNITZ,AUS & RUSS ARMY,Austria,DAUN,http://en.wikipedia.org/wiki/Ernst_Gideon_Freiherr_von_Laudon
178,80,1,THE SEVEN YEAR'S WAR,LIEGNITZ,AUS & RUSS ARMY,Austria,LAUDON,http://en.wikipedia.org/wiki/Count_Leopold_Joseph_von_Daun
179,81,0,THE SEVEN YEAR'S WAR,TORGAU,AUS ARMY,Austria,DAUN,http://en.wikipedia.org/wiki/Count_Leopold_Joseph_von_Daun
180,81,1,THE SEVEN YEAR'S WAR,TORGAU,PR ARMY,Prussia,FREDERICK II,http://en.wikipedia.org/wiki/Frederick_the_Great
181,82,0,AMERICAN REVOLUTION,BUNKER HILL,AM PATRIOTS,USA,PRESCOTT,http://en.wikipedia.org/wiki/William_Prescott
182,82,1,AMERICAN REVOLUTION,BUNKER HILL,BR ARMY,Great Britain,GAGE,http://en.wikipedia.org/wiki/Thomas_Gage
183,83,0,AMERICAN REVOLUTION,QUEBEC,BR ARMY,Great Britain,CARLETON,"http://en.wikipedia.org/wiki/Guy_Carleton,_1st_Baron_Dorchester"
184,83,1,AMERICAN REVOLUTION,QUEBEC,AM ARMY,USA,MONTGOMERY,http://en.wikipedia.org/wiki/Richard_Montgomery
185,84,0,AMERICAN REVOLUTION,WHITE PLAINS,AM ARMY,USA,WASHINGTON,"http://en.wikipedia.org/wiki/William_Howe,_5th_Viscount_Howe"
186,84,1,AMERICAN REVOLUTION,WHITE PLAINS,BR ARMY,Great Britain,HOWE,"http://en.wikipedia.org/wiki/William_Howe,_5th_Viscount_Howe"
187,85,0,AMERICAN REVOLUTION,TRENTON,RALL'S HESSIAN BDE,Great Britain,RALL,http://en.wikipedia.org/wiki/Johann_Rall
188,85,1,AMERICAN REVOLUTION,TRENTON,AM ARMY,USA,WASHINGTON,"http://en.wikipedia.org/wiki/William_Howe,_5th_Viscount_Howe"
189,86,0,AMERICAN REVOLUTION,PRINCETON,BR ARMY (DET.),Great Britain,MAWHOOD,http://en.wikipedia.org/wiki/Charles_Mawhood
190,86,1,AMERICAN REVOLUTION,PRINCETON,AM ARMY,USA,WASHINGTON,"http://en.wikipedia.org/wiki/William_Howe,_5th_Viscount_Howe"
191,87,0,AMERICAN REVOLUTION,FREEMAN'S FARM,AM ARMY,USA,GATES,http://en.wikipedia.org/wiki/Horatio_Gates
192,87,1,AMERICAN REVOLUTION,FREEMAN'S FARM,BR ARMY,Great Britain,BURGOYNE,http://en.wikipedia.org/wiki/John_Burgoyne
193,88,0,AMERICAN REVOLUTION,GERMANTOWN,BR ARMY,Great Britain,HOWE,"http://en.wikipedia.org/wiki/William_Howe,_5th_Viscount_Howe"
194,88,1,AMERICAN REVOLUTION,GERMANTOWN,AM ARMY,USA,WASHINGTON,"http://en.wikipedia.org/wiki/William_Howe,_5th_Viscount_Howe"
195,89,0,AMERICAN REVOLUTION,BEMIS HEIGHTS,AM ARMY,USA,GATES,http://en.wikipedia.org/wiki/Horatio_Gates
196,89,1,AMERICAN REVOLUTION,BEMIS HEIGHTS,BR ARMY,Great Britain,BURGOYNE,http://en.wikipedia.org/wiki/John_Burgoyne
197,90,0,AMERICAN REVOLUTION,MONMOUTH COURT HOUSE,AM ARMY,USA,WASHINGTON,"http://en.wikipedia.org/wiki/William_Howe,_5th_Viscount_Howe"
198,90,1,AMERICAN REVOLUTION,MONMOUTH COURT HOUSE,BR ARMY,Great Britain,CLINTON,http://en.wikipedia.org/wiki/Henry_Clinton_(American_War_of_Independence)
199,91,0,AMERICAN REVOLUTION,CAMDEN,AM ARMY,USA,GATES,http://en.wikipedia.org/wiki/Horatio_Gates
200,91,1,AMERICAN REVOLUTION,CAMDEN,BR ARMY,Great Britain,CORNWALLIS,http://en.wikipedia.org/wiki/Charles_Cornwallis
201,92,0,AMERICAN REVOLUTION,COWPENS,AM ARMY,USA,MORGAN,
202,92,1,AMERICAN REVOLUTION,COWPENS,BR ARMY,Great Britain,TARLETON,http://en.wikipedia.org/wiki/Banastre_Tarleton
203,93,0,AMERICAN REVOLUTION,GUILFORD COURT HOUSE,AM ARMY,USA,GREENE,http://en.wikipedia.org/wiki/Nathanael_Greene
204,93,1,AMERICAN REVOLUTION,GUILFORD COURT HOUSE,BR ARMY,Great Britain,CORNWALLIS,http://en.wikipedia.org/wiki/Charles_Cornwallis
205,94,0,AMERICAN REVOLUTION,HOBKIRK'S HILL,AM ARMY,USA,GREENE,http://en.wikipedia.org/wiki/Nathanael_Greene
206,94,1,AMERICAN REVOLUTION,HOBKIRK'S HILL,BR ARMY,Great Britain,RAWDON,"http://en.wikipedia.org/wiki/Francis_Rawdon-Hastings,_1st_Marquess_of_Hastings"
207,95,0,AMERICAN REVOLUTION,EUTAW SPRINGS,BR ARMY,Great Britain,STEWART,
208,95,1,AMERICAN REVOLUTION,EUTAW SPRINGS,AM ARMY,USA,GREENE,http://en.wikipedia.org/wiki/Nathanael_Greene
209,96,0,WAR OF THE FIRST COALITION,VALMY,ARMIES OF NORTH & CENTER,France,DUMOURIEZ,http://en.wikipedia.org/wiki/Charles_Fran%C3%A7ois_Dumouriez
210,96,1,WAR OF THE FIRST COALITION,VALMY,ALLIED ARMY,Prussia,BRUNSWICK,"http://en.wikipedia.org/wiki/Charles_William_Ferdinand,_Duke_of_Brunswick"
211,97,0,WAR OF THE FIRST COALITION,JEMAPPES,ALLIED ARMY,Austria,TESCHEN,http://en.wikipedia.org/wiki/Albert_of_Saxe-Teschen
212,97,1,WAR OF THE FIRST COALITION,JEMAPPES,FRENCH ARMY OF THE NORTH,France,DUMOURIEZ,http://en.wikipedia.org/wiki/Charles_Fran%C3%A7ois_Dumouriez
213,98,0,WAR OF THE FIRST COALITION,NEERWINDEN,AUSTRIAN ARMY,Austria,SAXE-COBURG,http://en.wikipedia.org/wiki/Prince_Josias_of_Coburg
214,98,1,WAR OF THE FIRST COALITION,NEERWINDEN,FRENCH ARMY OF THE NORTH,France,DUMOURIEZ,http://en.wikipedia.org/wiki/Charles_Fran%C3%A7ois_Dumouriez
215,99,0,WAR OF THE FIRST COALITION,HONDSCHOOTE,BR & HAN ARMY,Great Britain,YORK,"http://en.wikipedia.org/wiki/Prince_Frederick,_Duke_of_York_and_Albany"
216,99,1,WAR OF THE FIRST COALITION,HONDSCHOOTE,FRENCH ARMY OF THE NORTH,France,HOUCHARD,http://en.wikipedia.org/wiki/Jean_Nicolas_Houchard
217,100,0,WAR OF THE FIRST COALITION,WATTIGNIES,AUSTRIAN ARMY,Austria,SAXE-COBURG,http://en.wikipedia.org/wiki/Prince_Josias_of_Coburg
218,100,1,WAR OF THE FIRST COALITION,WATTIGNIES,FRENCH ARMY OF THE NORTH,France,JOURDAN,http://en.wikipedia.org/wiki/Jean-Baptiste_Jourdan
219,101,0,WAR OF THE FIRST COALITION,FLEURUS,FRENCH ARMY OF THE NORTH,France,JOURDAN,http://en.wikipedia.org/wiki/Jean-Baptiste_Jourdan
220,101,1,WAR OF THE FIRST COALITION,FLEURUS,AUSTRIAN ARMY,Austria,SAXE-COBURG,http://en.wikipedia.org/wiki/Prince_Josias_of_Coburg
221,102,0,WAR OF THE FIRST COALITION,LODI,AUSTRIAN ARMY,Austria,BEAULIEU,http://en.wikipedia.org/wiki/Johann_Peter_Beaulieu
222,102,1,WAR OF THE FIRST COALITION,LODI,FRENCH ARMY OF ITALY,France,BONAPARTE,http://en.wikipedia.org/wiki/Napoleon_I_of_France
223,103,0,WAR OF THE FIRST COALITION,CASTIGLIONE,AUSTRIAN ARMY,Austria,WURMSER,http://en.wikipedia.org/wiki/Dagobert_Sigmund_von_Wurmser
224,103,1,WAR OF THE FIRST COALITION,CASTIGLIONE,FRENCH ARMY OF ITALY,France,BONAPARTE,http://en.wikipedia.org/wiki/Napoleon_I_of_France
225,104,0,WAR OF THE FIRST COALITION,NERESHEIM,FR ARMY OF THE RHINE AND MOSELLE,France,MOREAU,http://en.wikipedia.org/wiki/Jean_Victor_Marie_Moreau
226,104,1,WAR OF THE FIRST COALITION,NERESHEIM,AUS ARMY,Austria,ARCHDUKE CHARLES,"http://en.wikipedia.org/wiki/Archduke_Charles,_Duke_of_Teschen"
227,105,0,WAR OF THE FIRST COALITION,WUERZBURG,FR ARMY OF THE SAMBRE AND MEUSE,France,JOURDAN,http://en.wikipedia.org/wiki/Jean-Baptiste_Jourdan
228,105,1,WAR OF THE FIRST COALITION,WUERZBURG,AUS ARMY,Austria,ARCHDUKE CHARLES,"http://en.wikipedia.org/wiki/Archduke_Charles,_Duke_of_Teschen"
229,106,0,WAR OF THE FIRST COALITION,ARCOLA,AUS ARMY,Austria,ALVINTZI,http://en.wikipedia.org/wiki/Jozsef_Alvinczi
230,106,1,WAR OF THE FIRST COALITION,ARCOLA,FR ARMY OF ITALY,France,BONAPARTE,http://en.wikipedia.org/wiki/Napoleon_I_of_France
231,107,0,WAR OF THE FIRST COALITION,RIVOLI,FR ARMY OF ITALY,France,BONAPARTE,http://en.wikipedia.org/wiki/Napoleon_I_of_France
232,107,1,WAR OF THE FIRST COALITION,RIVOLI,AUS ARMY,Austria,ALVINTZI,http://en.wikipedia.org/wiki/Jozsef_Alvinczi
233,108,0,WAR OF THE FIRST COALITION,PYRAMIDS,MAMELUKE ARMY,Ottoman Empire,MURAD BEY,http://en.wikipedia.org/wiki/Murad_Bey
234,108,1,WAR OF THE FIRST COALITION,PYRAMIDS,FR ARMY,France,BONAPARTE,http://en.wikipedia.org/wiki/Napoleon_I_of_France
235,109,0,WAR OF THE SECOND COALITION,STOCKACH I,AUS ARMY,Austria,ARCHDUKE CHARLES,"http://en.wikipedia.org/wiki/Archduke_Charles,_Duke_of_Teschen"
236,109,1,WAR OF THE SECOND COALITION,STOCKACH I,FR ARMY,France,JOURDAN,http://en.wikipedia.org/wiki/Jean-Baptiste_Jourdan
237,110,0,WAR OF THE FIRST COALITION,MOUNT TABOR,FR ARMY,France,BONAPARTE,http://en.wikipedia.org/wiki/Napoleon_I_of_France
238,110,1,WAR OF THE FIRST COALITION,MOUNT TABOR,TURK ARMY,Ottoman Empire,ABDALLAH PASHA,http://en.wikipedia.org/wiki/Jezzar_Pasha
239,111,0,WAR OF THE SECOND COALITION,ZURICH I,FR ARMY,France,MASSENA,http://en.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na
240,111,1,WAR OF THE SECOND COALITION,ZURICH I,AUS ARMY,Austria,ARCHDUKE CHARLES,"http://en.wikipedia.org/wiki/Archduke_Charles,_Duke_of_Teschen"
241,112,0,WAR OF THE SECOND COALITION,NOVI,FR ARMY OF ITALY,France,JOUBERT,http://en.wikipedia.org/wiki/Barth%C3%A9lemy_Catherine_Joubert
242,112,0,WAR OF THE SECOND COALITION,NOVI,FR ARMY OF ITALY,France,MOREAU,http://en.wikipedia.org/wiki/Jean_Victor_Marie_Moreau
243,112,1,WAR OF THE SECOND COALITION,NOVI,ALLIED ARMY,Russia,SUVAROV,http://en.wikipedia.org/wiki/Alexander_Suvorov
244,113,0,WAR OF THE SECOND COALITION,ZURICH III,ALLIED ARMY,Russia,KORSAKOV,http://en.wikipedia.org/wiki/Alexander_Korsakov
245,113,1,WAR OF THE SECOND COALITION,ZURICH III,FR ARMY,France,MASSENA,http://en.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na
246,114,0,WAR OF THE SECOND COALITION,MOESKIRCH,AUS ARMY,Austria,KRAY,
247,114,1,WAR OF THE SECOND COALITION,MOESKIRCH,FR ARMY,France,MOREAU,http://en.wikipedia.org/wiki/Jean_Victor_Marie_Moreau
248,115,0,WAR OF THE SECOND COALITION,MARENGO,FR ARMY OF THE RESERVE,France,BONAPARTE,http://en.wikipedia.org/wiki/Napoleon_I_of_France
249,115,1,WAR OF THE SECOND COALITION,MARENGO,AUS ARMY,Austria,MELAS,http://en.wikipedia.org/wiki/Michael_von_Melas
250,116,0,WAR OF THE SECOND COALITION,HOHENLINDEN,FR ARMY,France,MOREAU,http://en.wikipedia.org/wiki/Jean_Victor_Marie_Moreau
251,116,1,WAR OF THE SECOND COALITION,HOHENLINDEN,AUS ARMY,Austria,ARCHDUKE JOHN,http://en.wikipedia.org/wiki/Archduke_John_of_Austria
252,117,0,THE NAPOLEONIC WARS,AUSTERLITZ,FR ARMY,France,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France
253,117,1,THE NAPOLEONIC WARS,AUSTERLITZ,ALLIED ARMY,Russia,KUTUZOV,http://en.wikipedia.org/wiki/Mikhail_Kutuzov
254,118,0,THE NAPOLEONIC WARS,JENA,PR ARMY,Prussia,HOHENLOHE,"http://en.wikipedia.org/wiki/Frederick_Louis,_Prince_of_Hohenlohe-Ingelfingen"
255,118,1,THE NAPOLEONIC WARS,JENA,FR ARMY,France,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France
256,119,0,THE NAPOLEONIC WARS,AUERSTADT,FR III CORPS,France,DAVOUT,http://en.wikipedia.org/wiki/Louis_Nicolas_Davout
257,119,1,THE NAPOLEONIC WARS,AUERSTADT,PR ARMY,Prussia,BRUNSWICK,"http://en.wikipedia.org/wiki/Charles_William_Ferdinand,_Duke_of_Brunswick"
258,120,0,THE NAPOLEONIC WARS,EYLAU,RUSS ARMY,Russia,BENNIGSEN,"http://en.wikipedia.org/wiki/Levin_August,_Count_von_Bennigsen"
259,120,1,THE NAPOLEONIC WARS,EYLAU,FR ARMY,France,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France
260,121,0,THE NAPOLEONIC WARS,FRIEDLAND,RUSS ARMY,Russia,BENNIGSEN,"http://en.wikipedia.org/wiki/Levin_August,_Count_von_Bennigsen"
261,121,1,THE NAPOLEONIC WARS,FRIEDLAND,FR ARMY,France,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France
262,122,0,THE NAPOLEONIC WARS,VIMIERO,BR & PORT ARMY,Great Britain,WELLESLEY,"http://en.wikipedia.org/wiki/Arthur_Wellesley,_1st_Duke_of_Wellington"
263,122,1,THE NAPOLEONIC WARS,VIMIERO,FR ARMY,France,JUNOT,http://en.wikipedia.org/wiki/Jean-Andoche_Junot
264,123,0,THE NAPOLEONIC WARS,CORUNNA,BR ARMY,Great Britain,MOORE,http://en.wikipedia.org/wiki/John_Moore_(British_soldier)
265,123,1,THE NAPOLEONIC WARS,CORUNNA,FR ARMY,France,SOULT,http://en.wikipedia.org/wiki/Nicolas_Jean-de-Dieu_Soult
266,124,0,THE NAPOLEONIC WARS,ECKMUEHL,FR ARMY,France,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France
267,124,1,THE NAPOLEONIC WARS,ECKMUEHL,AUS ARMY,Austria,ARCHDUKE CHARLES,"http://en.wikipedia.org/wiki/Archduke_Charles,_Duke_of_Teschen"
268,125,0,THE NAPOLEONIC WARS,ASPERN-ESSLING,FR ARMY,France,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France
269,125,1,THE NAPOLEONIC WARS,ASPERN-ESSLING,AUS ARMY,Austria,ARCHDUKE CHARLES,"http://en.wikipedia.org/wiki/Archduke_Charles,_Duke_of_Teschen"
270,126,0,THE NAPOLEONIC WARS,THE RAAB,AUS ARMY,Austria,JOHN,http://en.wikipedia.org/wiki/Archduke_John_of_Austria
271,126,1,THE NAPOLEONIC WARS,THE RAAB,FR ARMY,France,EUGENE,http://en.wikipedia.org/wiki/Eug%C3%A8ne_de_Beauharnais
272,127,0,THE NAPOLEONIC WARS,WAGRAM,AUS ARMY,Austria,ARCHDUKE CHARLES,"http://en.wikipedia.org/wiki/Archduke_Charles,_Duke_of_Teschen"
273,127,1,THE NAPOLEONIC WARS,WAGRAM,FR ARMY,France,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France
274,128,0,THE NAPOLEONIC WARS,TALAVERA,BR & SP ARMIES,Great Britain & Spain,WELLESLLEY,"http://en.wikipedia.org/wiki/Arthur_Wellesley,_1st_Duke_of_Wellington"
275,128,0,THE NAPOLEONIC WARS,TALAVERA,BR & SP ARMIES,Great Britain & Spain,CUESTA,
276,128,1,THE NAPOLEONIC WARS,TALAVERA,FR ARMY,France,JOSEPH BONAPARTE,http://en.wikipedia.org/wiki/Joseph_Bonaparte
277,129,0,THE NAPOLEONIC WARS,BUSSACO,BR & PORT ARMIES,Great Britain,WELLINGTON,"http://en.wikipedia.org/wiki/Arthur_Wellesley,_1st_Duke_of_Wellington"
278,129,1,THE NAPOLEONIC WARS,BUSSACO,FR ARMY OF PORTUGAL,France,MASSENA,http://en.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na
279,130,0,THE NAPOLEONIC WARS,FUENTES DE ONORO,BR & PORT ARMIES,Great Britain,WELLINGTON,"http://en.wikipedia.org/wiki/Arthur_Wellesley,_1st_Duke_of_Wellington"
280,130,1,THE NAPOLEONIC WARS,FUENTES DE ONORO,FR ARMY,France,MASSENA,http://en.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na
281,131,0,THE NAPOLEONIC WARS,ALBUERA,"BR, PORT & SP ARMIES",Great Britain,BERESFORD,"http://en.wikipedia.org/wiki/William_Carr_Beresford,_1st_Viscount_Beresford"
282,131,1,THE NAPOLEONIC WARS,ALBUERA,FR ARMY,France,SOULT,http://en.wikipedia.org/wiki/Jean_de_Dieu_Soult
283,132,0,THE NAPOLEONIC WARS,SALAMANCA,FR ARMY,France,MARMONT,Battle_of_Salamanca
284,132,1,THE NAPOLEONIC WARS,SALAMANCA,BR ALLIED ARMY,Great Britain,WELLINGTON,"http://en.wikipedia.org/wiki/Arthur_Wellesley,_1st_Duke_of_Wellington"
285,133,0,THE NAPOLEONIC WARS,VITTORIA,FR ARMY,France,JOSEPH BONAPARTE,http://en.wikipedia.org/wiki/Joseph_Bonaparte
286,133,0,THE NAPOLEONIC WARS,VITTORIA,FR ARMY,France,JOURDAN,http://en.wikipedia.org/wiki/Jean-Baptiste_Jourdan
287,133,1,THE NAPOLEONIC WARS,VITTORIA,BR ALLIED ARMY,Great Britain,WELLINGTON,"http://en.wikipedia.org/wiki/Arthur_Wellesley,_1st_Duke_of_Wellington"
288,134,0,THE NAPOLEONIC WARS,BORODINO,RUSS ARMY,Russia,KUTUSOV,http://en.wikipedia.org/wiki/Mikhail_Kutuzov
289,134,1,THE NAPOLEONIC WARS,BORODINO,FR ARMY,France,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France
290,135,0,THE NAPOLEONIC WARS,LUETZEN,FR ARMY,France,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France
291,135,1,THE NAPOLEONIC WARS,LUETZEN,RUSS & PR ARMIES,Russia & Prussia,WITTGENSTEIN,http://en.wikipedia.org/wiki/Gebhard_Leberecht_von_Bl%C3%BCcher
292,135,1,THE NAPOLEONIC WARS,LUETZEN,RUSS & PR ARMIES,Russia & Prussia,BLUECHER,http://en.wikipedia.org/wiki/Peter_Wittgenstein
293,136,0,THE NAPOLEONIC WARS,BAUTZEN,PR & RUSS ARMIES,Prussia & Russia,WITTGENSTEIN,http://en.wikipedia.org/wiki/Gebhard_Leberecht_von_Bl%C3%BCcher
294,136,0,THE NAPOLEONIC WARS,BAUTZEN,PR & RUSS ARMIES,Prussia & Russia,BLUECHER,http://en.wikipedia.org/wiki/Peter_Wittgenstein
295,136,1,THE NAPOLEONIC WARS,BAUTZEN,FR ARMY,France,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France
296,137,0,THE NAPOLEONIC WARS,DRESDEN,FR ARMY,France,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France
297,137,1,THE NAPOLEONIC WARS,DRESDEN,"ALLIED (AUS, RUSS, PR)",Austria,SCHWARZENBERG,http://en.wikipedia.org/wiki/Karl_Philipp_F%C3%BCrst_zu_Schwarzenberg
298,138,0,THE NAPOLEONIC WARS,LEIPZIG,FR ARMY,France,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France
299,138,1,THE NAPOLEONIC WARS,LEIPZIG,"ALLIED (AUS, RUSS, PR, SW) ARMY",Austria,SCHWARZENBERG,http://en.wikipedia.org/wiki/Karl_Philipp_F%C3%BCrst_zu_Schwarzenberg
300,139,0,THE NAPOLEONIC WARS,HANAU,BAV ARMY,Bavaria,WREDE,http://en.wikipedia.org/wiki/Karl_Philipp_von_Wrede
301,139,1,THE NAPOLEONIC WARS,HANAU,FR ARMY,France,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France
302,140,0,THE NAPOLEONIC WARS,LA ROTHIERE,FR ARMY,France,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France
303,140,1,THE NAPOLEONIC WARS,LA ROTHIERE,ALLIED ARMY OF SILESIA,Prussia,BLUECHER,http://en.wikipedia.org/wiki/Gebhard_von_Bl%C3%BCcher
304,141,0,THE NAPOLEONIC WARS,LAON,ALLIED ARMY OF SILESIA,Prussia,BLUECHER,http://en.wikipedia.org/wiki/Gebhard_von_Bl%C3%BCcher
305,141,1,THE NAPOLEONIC WARS,LAON,FR ARMY,France,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France
306,142,0,THE NAPOLEONIC WARS,ARCIS-SUR-AUBE,FR ARMY,France,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France
307,142,1,THE NAPOLEONIC WARS,ARCIS-SUR-AUBE,ALLIED ARMY OF BOHEMIA,Austria,SCHWARZENBERG,"http://en.wikipedia.org/wiki/Karl_Philipp,_Prince_of_Schwarzenberg"
308,143,0,THE NAPOLEONIC WARS,LIGNY,PR ARMY (ELMS),Prussia,BLUECHER,http://en.wikipedia.org/wiki/Gebhard_Leberecht_von_Bl%C3%BCcher
309,143,1,THE NAPOLEONIC WARS,LIGNY,FR ARMY OF NORTH (ELEMENTS OF),France,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France
310,144,0,THE NAPOLEONIC WARS,QUATRE BRAS,BR & DU ARMY (ELMS),Great Britain,WELLINGTON,"http://en.wikipedia.org/wiki/Arthur_Wellesley,_1st_Duke_of_Wellington"
311,144,1,THE NAPOLEONIC WARS,QUATRE BRAS,FR ARMY OF NORTH (ELEMENTS OF),France,NEY,http://en.wikipedia.org/wiki/Michel_Ney
312,145,0,THE NAPOLEONIC WARS,WATERLOO,"ALLIED (BR, DU, PR) ARMIES",Great Britain & Prussia,WELLINGTON,"http://en.wikipedia.org/wiki/Arthur_Wellesley,_1st_Duke_of_Wellington"
313,145,0,THE NAPOLEONIC WARS,WATERLOO,"ALLIED (BR, DU, PR) ARMIES",Great Britain & Prussia,BLUECHER,http://en.wikipedia.org/wiki/Gebhard_Leberecht_von_Bl%C3%BCcher
314,145,1,THE NAPOLEONIC WARS,WATERLOO,FR ARMY OF NORTH (ELEMENTS OF),France,NAPOLEON I,http://en.wikipedia.org/wiki/Napoleon_I_of_France
315,146,0,WAR OF 1812,THE THAMES,BR ARMY,Great Britain,PROCTOR,http://en.wikipedia.org/wiki/Henry_Procter_(British_Army_officer)
316,146,1,WAR OF 1812,THE THAMES,US ARMY,USA,HARRISON,Battle_of_the_Thames
317,147,0,WAR OF 1812,CHIPPEWA,US ARMY,USA,BROWN,http://en.wikipedia.org/wiki/Jacob_Brown
318,147,1,WAR OF 1812,CHIPPEWA,BR ARMY,Great Britain,RIALL,http://en.wikipedia.org/wiki/Phineas_Riall
319,148,0,WAR OF 1812,LUNDY'S LANE,BR ARMY,Great Britain,DRUMMOND,http://en.wikipedia.org/wiki/Gordon_Drummond
320,148,1,WAR OF 1812,LUNDY'S LANE,US ARMY,USA,BROWN,http://en.wikipedia.org/wiki/Jacob_Brown
321,149,0,WAR OF 1812,NEW ORLEANS,US ARMY,USA,JACKSON,http://en.wikipedia.org/wiki/Andrew_Jackson
322,149,1,WAR OF 1812,NEW ORLEANS,BR ARMY,Great Britain,PAKENHAM,http://en.wikipedia.org/wiki/Edward_Pakenham
323,150,0,LATIN AMERICAN WARS OF INDEPENDENCE,BOYACA,SP ARMY,Spain,BARREIRO,
