"isqno","name","war2","war3"
548,"CAPTURE OF YUZA-DAKE/YAEJU-DAKE ESCARPMENT","WORLD WAR II (OKINAWA CAMPAIGN 1945)","WORLD WAR II"
602,"SIDI BOU ZID I","WORLD WAR II (NORTH AFRICA 1942-1943)","WORLD WAR II"
603,"SIDI BOU ZID II","WORLD WAR II (NORTH AFRICA 1942-1943)","WORLD WAR II"
604,"KASSERINE PASS","WORLD WAR II (NORTH AFRICA 1942-1943)","WORLD WAR II"
605,"RAPIDO NORTH I","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
606,"RAPIDO NORTH II","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
607,"RAPIDO SOUTH I","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
608,"RAPIDO SOUTH II","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
609,"BOWLING ALLEY I","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
610,"BOWLING ALLEY II","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
611,"BOWLING ALLEY III","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
612,"MORTAIN I","WORLD WAR II (NORTHWEST EUROPE 1944)","WORLD WAR II"
613,"MORTAIN II","WORLD WAR II (NORTHWEST EUROPE 1944)","WORLD WAR II"
614,"SCHMIDT I","WORLD WAR II (NORTHWEST EUROPE 1944)","WORLD WAR II"
615,"SCHMIDT II","WORLD WAR II (NORTHWEST EUROPE 1944)","WORLD WAR II"
616,"SCHMIDT III","WORLD WAR II (NORTHWEST EUROPE 1944)","WORLD WAR II"
617,"WAHLERSCHEID","WORLD WAR II (NORTHWEST EUROPE 1944)","WORLD WAR II"
618,"KRINKELT-ROCHERATH I","WORLD WAR II (ARDENNES 1944)","WORLD WAR II"
619,"KRINKELT-ROCHERATH II","WORLD WAR II (ARDENNES 1944)","WORLD WAR II"
620,"SCHNEE EIFEL CENTER","WORLD WAR II (ARDENNES 1944)","WORLD WAR II"
621,"SCHNEE EIFEL SOUTH","WORLD WAR II (ARDENNES 1944)","WORLD WAR II"
622,"SCHNEE EIFEL NORTH I","WORLD WAR II (ARDENNES 1944)","WORLD WAR II"
623,"SCHNEE EIFEL NORTH II","WORLD WAR II (ARDENNES 1944)","WORLD WAR II"
624,"OUR RIVER CENTER","WORLD WAR II (ARDENNES 1944)","WORLD WAR II"
625,"OUR RIVER NORTH","WORLD WAR II (ARDENNES 1944)","WORLD WAR II"
637,"TARGUL FRUMOS","WORLD WAR II (EASTERN FRONT)","WORLD WAR II"
644,"TARTO-TIBER","WORLD WAR II (ITALY 1943-1944)","WORLD WAR II"
657,"ARDENNES","WORLD WAR II (FRANCE 1940)","WORLD WAR II"
658,"CAMBRAI","WORLD WAR II (FRANCE 1940)","WORLD WAR II"
659,"ARRAS","WORLD WAR II (FRANCE 1940)","WORLD WAR II"
660,"BOOS","WORLD WAR II (FRANCE 1940)","WORLD WAR II"
96,"VALMY","WAR OF THE FIRST COALITION","THE NAPOLEONIC WARS"
97,"JEMAPPES","WAR OF THE FIRST COALITION","THE NAPOLEONIC WARS"
98,"NEERWINDEN","WAR OF THE FIRST COALITION","THE NAPOLEONIC WARS"
99,"HONDSCHOOTE","WAR OF THE FIRST COALITION","THE NAPOLEONIC WARS"
100,"WATTIGNIES","WAR OF THE FIRST COALITION","THE NAPOLEONIC WARS"
101,"FLEURUS","WAR OF THE FIRST COALITION","THE NAPOLEONIC WARS"
102,"LODI","WAR OF THE FIRST COALITION","THE NAPOLEONIC WARS"
103,"CASTIGLIONE","WAR OF THE FIRST COALITION","THE NAPOLEONIC WARS"
104,"NERESHEIM","WAR OF THE FIRST COALITION","THE NAPOLEONIC WARS"
105,"WUERZBURG","WAR OF THE FIRST COALITION","THE NAPOLEONIC WARS"
106,"ARCOLA","WAR OF THE FIRST COALITION","THE NAPOLEONIC WARS"
107,"RIVOLI","WAR OF THE FIRST COALITION","THE NAPOLEONIC WARS"
108,"PYRAMIDS","WAR OF THE FIRST COALITION","THE NAPOLEONIC WARS"
109,"STOCKACH I","WAR OF THE SECOND COALITION","THE NAPOLEONIC WARS"
110,"MOUNT TABOR","WAR OF THE FIRST COALITION","THE NAPOLEONIC WARS"
111,"ZURICH I","WAR OF THE SECOND COALITION","THE NAPOLEONIC WARS"
112,"NOVI","WAR OF THE SECOND COALITION","THE NAPOLEONIC WARS"
113,"ZURICH III","WAR OF THE SECOND COALITION","THE NAPOLEONIC WARS"
114,"MOESKIRCH","WAR OF THE SECOND COALITION","THE NAPOLEONIC WARS"
115,"MARENGO","WAR OF THE SECOND COALITION","THE NAPOLEONIC WARS"
116,"HOHENLINDEN","WAR OF THE SECOND COALITION","THE NAPOLEONIC WARS"
117,"AUSTERLITZ","WAR OF THE THIRD COALITION","THE NAPOLEONIC WARS"
118,"JENA","WAR OF THE THIRD COALITION","THE NAPOLEONIC WARS"
119,"AUERSTADT","WAR OF THE THIRD COALITION","THE NAPOLEONIC WARS"
120,"EYLAU","WAR OF THE THIRD COALITION","THE NAPOLEONIC WARS"
121,"FRIEDLAND","WAR OF THE THIRD COALITION","THE NAPOLEONIC WARS"
122,"VIMIERO","THE PENINSULAR WAR, 1807-1809","THE NAPOLEONIC WARS"
123,"CORUNNA","THE PENINSULAR WAR, 1807-1809","THE NAPOLEONIC WARS"
124,"ECKMUEHL","WAR AGAINST AUSTRIA, 1809","THE NAPOLEONIC WARS"
125,"ASPERN-ESSLING","WAR AGAINST AUSTRIA, 1809","THE NAPOLEONIC WARS"
126,"THE RAAB","WAR AGAINST AUSTRIA, 1809","THE NAPOLEONIC WARS"
127,"WAGRAM","WAR AGAINST AUSTRIA, 1809","THE NAPOLEONIC WARS"
128,"TALAVERA","THE PENINSULAR WAR, 1809-1814","THE NAPOLEONIC WARS"
129,"BUSSACO","THE PENINSULAR WAR, 1809-1814","THE NAPOLEONIC WARS"
130,"FUENTES DE ONORO","THE PENINSULAR WAR, 1809-1814","THE NAPOLEONIC WARS"
131,"ALBUERA","THE PENINSULAR WAR, 1809-1814","THE NAPOLEONIC WARS"
132,"SALAMANCA","THE PENINSULAR WAR, 1809-1814","THE NAPOLEONIC WARS"
133,"VITTORIA","THE PENINSULAR WAR, 1809-1814","THE NAPOLEONIC WARS"
134,"BORODINO","WAR WITH RUSSIA, 1812","THE NAPOLEONIC WARS"
135,"LUETZEN","LEIPZIG CAMPAIGN, 1813","THE NAPOLEONIC WARS"
136,"BAUTZEN","LEIPZIG CAMPAIGN, 1813","THE NAPOLEONIC WARS"
137,"DRESDEN","LEIPZIG CAMPAIGN, 1813","THE NAPOLEONIC WARS"
138,"LEIPZIG","LEIPZIG CAMPAIGN, 1813","THE NAPOLEONIC WARS"
139,"HANAU","LEIPZIG CAMPAIGN, 1813","THE NAPOLEONIC WARS"
140,"LA ROTHIERE","DEFENSE OF FANCE, 1814","THE NAPOLEONIC WARS"
141,"LAON","DEFENSE OF FANCE, 1814","THE NAPOLEONIC WARS"
142,"ARCIS-SUR-AUBE","DEFENSE OF FANCE, 1814","THE NAPOLEONIC WARS"
143,"LIGNY","THE HUNDRED DAYS, 1815","THE NAPOLEONIC WARS"
144,"QUATRE BRAS","THE HUNDRED DAYS, 1815","THE NAPOLEONIC WARS"
145,"WATERLOO","THE HUNDRED DAYS, 1815","THE NAPOLEONIC WARS"
549,"JENIN","ARAB-ISRAELI WAR, 1967 (WEST BANK FRONT)","ARAB-ISRAELI WAR, 1967 (SIX-DAY WAR)"
550,"JERUSALEM","ARAB-ISRAELI WAR, 1967 (WEST BANK FRONT)","ARAB-ISRAELI WAR, 1967 (SIX-DAY WAR)"
551,"KABATIYA","ARAB-ISRAELI WAR, 1967 (WEST BANK FRONT)","ARAB-ISRAELI WAR, 1967 (SIX-DAY WAR)"
552,"TILFIT-ZABABIDA","ARAB-ISRAELI WAR, 1967 (WEST BANK FRONT)","ARAB-ISRAELI WAR, 1967 (SIX-DAY WAR)"
553,"NABLUS","ARAB-ISRAELI WAR, 1967 (WEST BANK FRONT)","ARAB-ISRAELI WAR, 1967 (SIX-DAY WAR)"
554,"RAFAH","ARAB-ISRAELI WAR, 1967 (SINAI FRONT)","ARAB-ISRAELI WAR, 1967 (SIX-DAY WAR)"
555,"BIR LAHFAN","ARAB-ISRAELI WAR, 1967 (SINAI FRONT)","ARAB-ISRAELI WAR, 1967 (SIX-DAY WAR)"
556,"ABU AGEILA-UM KATEF","ARAB-ISRAELI WAR, 1967 (SINAI FRONT)","ARAB-ISRAELI WAR, 1967 (SIX-DAY WAR)"
557,"EL ARISH","ARAB-ISRAELI WAR, 1967 (SINAI FRONT)","ARAB-ISRAELI WAR, 1967 (SIX-DAY WAR)"
558,"JEBEL LIBNI","ARAB-ISRAELI WAR, 1967 (SINAI FRONT)","ARAB-ISRAELI WAR, 1967 (SIX-DAY WAR)"
559,"GAZA STRIP","ARAB-ISRAELI WAR, 1967 (SINAI FRONT)","ARAB-ISRAELI WAR, 1967 (SIX-DAY WAR)"
560,"BIR HASSNA-BIR THAMADA","ARAB-ISRAELI WAR, 1967 (SINAI FRONT)","ARAB-ISRAELI WAR, 1967 (SIX-DAY WAR)"
561,"MITLA PASS","ARAB-ISRAELI WAR, 1967 (SINAI FRONT)","ARAB-ISRAELI WAR, 1967 (SIX-DAY WAR)"
562,"BIR HAMMA-BIR GIFGAFA","ARAB-ISRAELI WAR, 1967 (SINAI FRONT)","ARAB-ISRAELI WAR, 1967 (SIX-DAY WAR)"
563,"NAKHL","ARAB-ISRAELI WAR, 1967 (SINAI FRONT)","ARAB-ISRAELI WAR, 1967 (SIX-DAY WAR)"
564,"BIR GIFGAFA","ARAB-ISRAELI WAR, 1967 (SINAI FRONT)","ARAB-ISRAELI WAR, 1967 (SIX-DAY WAR)"
565,"TEL FAHAR-BANIAS","ARAB-ISRAELI WAR, 1967 (GOLAN FRONT)","ARAB-ISRAELI WAR, 1967 (SIX-DAY WAR)"
566,"RAWIYEH","ARAB-ISRAELI WAR, 1967 (GOLAN FRONT)","ARAB-ISRAELI WAR, 1967 (SIX-DAY WAR)"
567,"ZAOURA-KALA","ARAB-ISRAELI WAR, 1967 (GOLAN FRONT)","ARAB-ISRAELI WAR, 1967 (SIX-DAY WAR)"
569,"SUEZ CANAL ASSAULT, NORTH","ARAB-ISRAELI WAR, 1973 (SUEZ FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
570,"SUEZ CANAL ASSAULT, SOUTH","ARAB-ISRAELI WAR, 1973 (SUEZ FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
571,"SECOND ARMY BUILDUP","ARAB-ISRAELI WAR, 1973 (SUEZ FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
572,"THIRD ARMY BUILDUP","ARAB-ISRAELI WAR, 1973 (SUEZ FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
573,"KANTARA-FIRDAN","ARAB-ISRAELI WAR, 1973 (SUEZ FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
574,"EGYPTIAN OFFENSIVE, NORTH","ARAB-ISRAELI WAR, 1973 (SUEZ FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
575,"EGYPTIAN OFFENSIVE, SOUTH","ARAB-ISRAELI WAR, 1973 (SUEZ FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
576,"DEVERSOIR (CHINESE FARM I)","ARAB-ISRAELI WAR, 1973 (SUEZ FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
577,"DEVERSOIR (CHINESE FARM II)","ARAB-ISRAELI WAR, 1973 (SUEZ FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
578,"DEVERSOIR WEST","ARAB-ISRAELI WAR, 1973 (SUEZ FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
579,"ISMAILIA","ARAB-ISRAELI WAR, 1973 (SUEZ FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
580,"JEBEL GENEIFA","ARAB-ISRAELI WAR, 1973 (SUEZ FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
581,"SHALLUFA I","ARAB-ISRAELI WAR, 1973 (SUEZ FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
582,"SHALLUFA II","ARAB-ISRAELI WAR, 1973 (SUEZ FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
583,"SUEZ","ARAB-ISRAELI WAR, 1973 (SUEZ FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
584,"ADABIYA","ARAB-ISRAELI WAR, 1973 (SUEZ FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
585,"KUNEITRA","ARAB-ISRAELI WAR, 1973 (GOLAN FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
586,"AHMADIYEH","ARAB-ISRAELI WAR, 1973 (GOLAN FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
587,"RAFID","ARAB-ISRAELI WAR, 1973 (GOLAN FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
588,"YEHUDA-EL AL","ARAB-ISRAELI WAR, 1973 (GOLAN FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
589,"NAFEKH","ARAB-ISRAELI WAR, 1973 (GOLAN FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
590,"TEL FARRIS","ARAB-ISRAELI WAR, 1973 (GOLAN FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
591,"HUSHNIYAH","ARAB-ISRAELI WAR, 1973 (GOLAN FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
592,"MOUNT HERMONIT","ARAB-ISRAELI WAR, 1973 (GOLAN FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
593,"MOUNT HERMON I","ARAB-ISRAELI WAR, 1973 (GOLAN FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
594,"TEL SHAMS","ARAB-ISRAELI WAR, 1973 (GOLAN FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
595,"TEL SHAAR","ARAB-ISRAELI WAR, 1973 (GOLAN FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
596,"TEL EL HARA","ARAB-ISRAELI WAR, 1973 (GOLAN FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
597,"KFAR SHAMS-TEL ANTAR","ARAB-ISRAELI WAR, 1973 (GOLAN FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
598,"NABA","ARAB-ISRAELI WAR, 1973 (GOLAN FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
599,"ARAB COUNTEROFFENSIVE","ARAB-ISRAELI WAR, 1973 (GOLAN FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
600,"MOUNT HERMON II","ARAB-ISRAELI WAR, 1973 (GOLAN FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
601,"MOUNT HERMON III","ARAB-ISRAELI WAR, 1973 (GOLAN FRONT)","ARAB-ISRAELI WAR, 1973 (OCTOBER WAR)"
641,"BANIAS-MASAADA","ARAB-ISRAELI WAR, 1967 (GOLAN FRONT)","ARAB-ISRAELI WAR, 1967 (SIX-DAY WAR)"
642,"BOUTMIYA","ARAB-ISRAELI WAR, 1967 (GOLAN FRONT)","ARAB-ISRAELI WAR, 1967 (SIX-DAY WAR)"
643,"KUNEITRA","ARAB-ISRAELI WAR, 1967 (GOLAN FRONT)","ARAB-ISRAELI WAR, 1967 (SIX-DAY WAR)"
31,"THE RAAB","AUSTRO-TURKISH WAR, 1662-1683","AUSTRO-TURKISH WAR, 1662-1683"
32,"VIENNA","AUSTRO-TURKISH WAR, 1662-1683","AUSTRO-TURKISH WAR, 1662-1683"
48,"ZENTA","AUSTRO-TURKISH WAR, 1688-1699","AUSTRO-TURKISH WAR, 1688-1699"
54,"PETERWARDEIN","AUSTRO-TURKISH WAR, 1716-1718","AUSTRO-TURKISH WAR, 1716-1718"
